sub_id,ios_stranger,ios_friend,ios_computer
10317,2.00,3.00,1.00
10369,1.00,4.00,1.00
10391,2.00,4.00,1.00
10402,2.00,4.00,5.00
10418,2.00,3.00,3.00
10462,1.00,3.00,1.00
10478,3.00,7.00,4.00
10486,4.00,4.00,4.00
10529,1.00,7.00,1.00
10541,1.00,3.00,1.00
10555,1.00,5.00,1.00
10559,1.00,5.00,2.00
10572,1.00,2.00,1.00
10581,5.00,2.00,2.00
10584,1.00,6.00,2.00
10585,1.00,7.00,1.00
10589,3.00,5.00,1.00
10590,1.00,4.00,1.00
10596,1.00,4.00,1.00
10603,4.00,7.00,1.00
10606,1.00,5.00,1.00
10608,1.00,4.00,1.00
10617,4.00,6.00,2.00
10636,5.00,7.00,1.00
10638,1.00,6.00,1.00
10641,1.00,7.00,1.00
10642,1.00,2.00,4.00
10644,1.00,6.00,1.00
10647,2.00,5.00,1.00
10649,1.00,6.00,1.00
10652,1.00,2.00,1.00
10656,5.00,7.00,2.00
10657,1.00,4.00,1.00
10659,1.00,6.00,4.00
10661,1.00,7.00,1.00
10663,1.00,7.00,1.00
10668,1.00,3.00,1.00
10673,1.00,7.00,1.00
10674,5.00,7.00,2.00
10677,1.00,7.00,1.00
10685,1.00,2.00,1.00
10690,1.00,2.00,1.00
10691,1.00,6.00,1.00
10700,3.00,6.00,2.00
10701,3.00,6.00,1.00
10716,1.00,4.00,1.00
10720,1.00,6.00,2.00
10723,1.00,5.00,5.00
10741,1.00,6.00,1.00
10767,2.00,5.00,2.00
10773,2.00,7.00,1.00
10774,4.00,6.00,3.00
10777,2.00,5.00,4.00
10781,1.00,4.00,1.00
10783,1.00,2.00,3.00
10785,1.00,6.00,1.00
10794,2.00,4.00,2.00
10800,1.00,4.00,3.00
10802,3.00,5.00,1.00
10803,1.00,6.00,2.00
10804,1.00,2.00,1.00
10806,1.00,5.00,1.00
10812,3.00,7.00,4.00
