measure,value
ios_stranger,3
ios_stranger,1
ios_stranger,1
ios_stranger,1
ios_stranger,3
ios_stranger,1
ios_stranger,2
ios_stranger,1
ios_stranger,1
ios_stranger,1
ios_stranger,2
ios_stranger,4
ios_stranger,2
ios_stranger,2
ios_stranger,1
ios_stranger,1
ios_stranger,1
ios_stranger,1
ios_stranger,3
ios_stranger,3
ios_stranger,1
ios_stranger,1
ios_stranger,1
ios_stranger,1
ios_stranger,5
ios_stranger,1
ios_stranger,1
ios_stranger,1
ios_stranger,1
ios_stranger,1
ios_stranger,1
ios_stranger,5
ios_stranger,1
ios_stranger,1
ios_stranger,2
ios_stranger,1
ios_stranger,1
ios_stranger,1
ios_stranger,1
ios_stranger,5
ios_stranger,4
ios_stranger,1
ios_stranger,1
ios_stranger,4
ios_stranger,1
ios_stranger,1
ios_stranger,3
ios_stranger,1
ios_stranger,1
ios_stranger,5
ios_stranger,1
ios_stranger,1
ios_stranger,1
ios_stranger,1
ios_stranger,1
ios_stranger,4
ios_stranger,3
ios_stranger,1
ios_stranger,2
ios_stranger,2
ios_stranger,2
ios_stranger,1
ios_stranger,2
ios_friend,7
ios_friend,5
ios_friend,2
ios_friend,6
ios_friend,5
ios_friend,4
ios_friend,4
ios_friend,6
ios_friend,2
ios_friend,4
ios_friend,5
ios_friend,6
ios_friend,7
ios_friend,5
ios_friend,6
ios_friend,5
ios_friend,6
ios_friend,4
ios_friend,6
ios_friend,6
ios_friend,6
ios_friend,2
ios_friend,2
ios_friend,7
ios_friend,7
ios_friend,7
ios_friend,3
ios_friend,7
ios_friend,7
ios_friend,6
ios_friend,4
ios_friend,7
ios_friend,2
ios_friend,6
ios_friend,5
ios_friend,6
ios_friend,2
ios_friend,7
ios_friend,6
ios_friend,7
ios_friend,6
ios_friend,4
ios_friend,5
ios_friend,7
ios_friend,4
ios_friend,4
ios_friend,5
ios_friend,7
ios_friend,6
ios_friend,2
ios_friend,2
ios_friend,5
ios_friend,5
ios_friend,3
ios_friend,7
ios_friend,4
ios_friend,7
ios_friend,3
ios_friend,3
ios_friend,4
ios_friend,4
ios_friend,4
ios_friend,3
ios_computer,4
ios_computer,1
ios_computer,1
ios_computer,2
ios_computer,1
ios_computer,3
ios_computer,2
ios_computer,1
ios_computer,3
ios_computer,1
ios_computer,4
ios_computer,3
ios_computer,1
ios_computer,2
ios_computer,1
ios_computer,5
ios_computer,2
ios_computer,1
ios_computer,1
ios_computer,2
ios_computer,1
ios_computer,1
ios_computer,1
ios_computer,1
ios_computer,2
ios_computer,1
ios_computer,1
ios_computer,1
ios_computer,1
ios_computer,4
ios_computer,1
ios_computer,2
ios_computer,1
ios_computer,1
ios_computer,1
ios_computer,1
ios_computer,4
ios_computer,1
ios_computer,1
ios_computer,1
ios_computer,2
ios_computer,1
ios_computer,1
ios_computer,1
ios_computer,1
ios_computer,1
ios_computer,1
ios_computer,1
ios_computer,2
ios_computer,2
ios_computer,1
ios_computer,2
ios_computer,1
ios_computer,1
ios_computer,1
ios_computer,4
ios_computer,4
ios_computer,1
ios_computer,3
ios_computer,5
ios_computer,1
ios_computer,1
ios_computer,1
