subject	session	run	file	event_rows	trials	valid_choices	misses	zero_investments	choice_computer	choice_friend	choice_stranger	outcome_computer_defect	outcome_computer_recip	outcome_friend_defect	outcome_friend_recip	outcome_stranger_defect	outcome_stranger_recip	missing_expected
10529	01	2	/ZPOOL/data/projects/rf1-sra-linux2/bids/sub-10529/ses-01/func/sub-10529_ses-01_task-trust_run-2_events.tsv	82	42	40	2	0	14	13	13	7	7	7	6	6	7	
10541	01	1	/ZPOOL/data/projects/rf1-sra-linux2/bids/sub-10541/ses-01/func/sub-10541_ses-01_task-trust_run-1_events.tsv	78	42	40	2	4	14	13	13	7	7	5	6	6	5	
10541	01	2	/ZPOOL/data/projects/rf1-sra-linux2/bids/sub-10541/ses-01/func/sub-10541_ses-01_task-trust_run-2_events.tsv	84	42	42	0	0	14	14	14	7	7	7	7	7	7	
10559	01	1	/ZPOOL/data/projects/rf1-sra-linux2/bids/sub-10559/ses-01/func/sub-10559_ses-01_task-trust_run-1_events.tsv	69	42	38	4	11	14	11	13	5	5	6	3	4	4	
10559	01	2	/ZPOOL/data/projects/rf1-sra-linux2/bids/sub-10559/ses-01/func/sub-10559_ses-01_task-trust_run-2_events.tsv	66	42	40	2	16	13	14	13	4	4	4	4	4	4	
10572	01	1	/ZPOOL/data/projects/rf1-sra-linux2/bids/sub-10572/ses-01/func/sub-10572_ses-01_task-trust_run-1_events.tsv	78	42	41	1	5	14	13	14	6	6	6	6	6	6	
10572	01	2	/ZPOOL/data/projects/rf1-sra-linux2/bids/sub-10572/ses-01/func/sub-10572_ses-01_task-trust_run-2_events.tsv	78	42	42	0	6	14	14	14	6	6	6	6	6	6	
10581	01	1	/ZPOOL/data/projects/rf1-sra-linux2/bids/sub-10581/ses-01/func/sub-10581_ses-01_task-trust_run-1_events.tsv	71	42	38	4	9	12	14	12	4	3	6	7	4	5	
10581	01	2	/ZPOOL/data/projects/rf1-sra-linux2/bids/sub-10581/ses-01/func/sub-10581_ses-01_task-trust_run-2_events.tsv	78	42	41	1	5	14	14	13	6	6	6	7	7	4	
10584	01	1	/ZPOOL/data/projects/rf1-sra-linux2/bids/sub-10584/ses-01/func/sub-10584_ses-01_task-trust_run-1_events.tsv	77	42	42	0	7	14	14	14	7	6	6	4	7	5	
10584	01	2	/ZPOOL/data/projects/rf1-sra-linux2/bids/sub-10584/ses-01/func/sub-10584_ses-01_task-trust_run-2_events.tsv	76	42	41	1	7	14	14	13	7	5	5	5	6	6	
10585	01	1	/ZPOOL/data/projects/rf1-sra-linux2/bids/sub-10585/ses-01/func/sub-10585_ses-01_task-trust_run-1_events.tsv	81	42	42	0	3	14	14	14	6	6	7	6	7	7	
10585	01	2	/ZPOOL/data/projects/rf1-sra-linux2/bids/sub-10585/ses-01/func/sub-10585_ses-01_task-trust_run-2_events.tsv	81	42	42	0	3	14	14	14	6	6	7	7	7	6	
10589	01	1	/ZPOOL/data/projects/rf1-sra-linux2/bids/sub-10589/ses-01/func/sub-10589_ses-01_task-trust_run-1_events.tsv	84	42	42	0	0	14	14	14	7	7	7	7	7	7	
10589	01	2	/ZPOOL/data/projects/rf1-sra-linux2/bids/sub-10589/ses-01/func/sub-10589_ses-01_task-trust_run-2_events.tsv	83	42	42	0	1	14	14	14	7	7	7	7	7	6	
10590	01	1	/ZPOOL/data/projects/rf1-sra-linux2/bids/sub-10590/ses-01/func/sub-10590_ses-01_task-trust_run-1_events.tsv	79	42	42	0	5	14	14	14	5	5	7	7	7	6	
10590	01	2	/ZPOOL/data/projects/rf1-sra-linux2/bids/sub-10590/ses-01/func/sub-10590_ses-01_task-trust_run-2_events.tsv	76	42	42	0	8	14	14	14	4	4	7	6	7	6	
10596	01	1	/ZPOOL/data/projects/rf1-sra-linux2/bids/sub-10596/ses-01/func/sub-10596_ses-01_task-trust_run-1_events.tsv	81	42	41	1	2	13	14	14	6	5	7	7	7	7	
10596	01	2	/ZPOOL/data/projects/rf1-sra-linux2/bids/sub-10596/ses-01/func/sub-10596_ses-01_task-trust_run-2_events.tsv	79	42	41	1	4	13	14	14	5	4	7	7	7	7	
10603	01	1	/ZPOOL/data/projects/rf1-sra-linux2/bids/sub-10603/ses-01/func/sub-10603_ses-01_task-trust_run-1_events.tsv	75	42	42	0	9	14	14	14	5	4	6	7	6	5	
10603	01	2	/ZPOOL/data/projects/rf1-sra-linux2/bids/sub-10603/ses-01/func/sub-10603_ses-01_task-trust_run-2_events.tsv	70	42	42	0	14	14	14	14	4	4	6	6	4	4	
10606	01	1	/ZPOOL/data/projects/rf1-sra-linux2/bids/sub-10606/ses-01/func/sub-10606_ses-01_task-trust_run-1_events.tsv	82	42	40	2	0	13	14	13	6	7	7	7	7	6	
10606	01	2	/ZPOOL/data/projects/rf1-sra-linux2/bids/sub-10606/ses-01/func/sub-10606_ses-01_task-trust_run-2_events.tsv	83	42	41	1	0	13	14	14	7	6	7	7	7	7	
10608	01	1	/ZPOOL/data/projects/rf1-sra-linux2/bids/sub-10608/ses-01/func/sub-10608_ses-01_task-trust_run-1_events.tsv	75	42	42	0	9	14	14	14	5	4	7	7	5	5	
10617	01	1	/ZPOOL/data/projects/rf1-sra-linux2/bids/sub-10617/ses-01/func/sub-10617_ses-01_task-trust_run-1_events.tsv	81	42	42	0	3	14	14	14	6	5	7	7	7	7	
10636	01	1	/ZPOOL/data/projects/rf1-sra-linux2/bids/sub-10636/ses-01/func/sub-10636_ses-01_task-trust_run-1_events.tsv	80	42	40	2	2	14	13	13	6	6	6	7	7	6	
10636	01	2	/ZPOOL/data/projects/rf1-sra-linux2/bids/sub-10636/ses-01/func/sub-10636_ses-01_task-trust_run-2_events.tsv	82	42	42	0	2	14	14	14	7	7	7	6	7	6	
10638	01	1	/ZPOOL/data/projects/rf1-sra-linux2/bids/sub-10638/ses-01/func/sub-10638_ses-01_task-trust_run-1_events.tsv	84	42	42	0	0	14	14	14	7	7	7	7	7	7	
10638	01	2	/ZPOOL/data/projects/rf1-sra-linux2/bids/sub-10638/ses-01/func/sub-10638_ses-01_task-trust_run-2_events.tsv	83	42	41	1	0	13	14	14	7	6	7	7	7	7	
10640	01	1	/ZPOOL/data/projects/rf1-sra-linux2/bids/sub-10640/ses-01/func/sub-10640_ses-01_task-trust_run-1_events.tsv	72	42	42	0	12	14	14	14	4	4	6	6	5	5	
10640	01	2	/ZPOOL/data/projects/rf1-sra-linux2/bids/sub-10640/ses-01/func/sub-10640_ses-01_task-trust_run-2_events.tsv	70	42	41	1	13	14	14	13	4	5	5	5	5	4	
10641	01	1	/ZPOOL/data/projects/rf1-sra-linux2/bids/sub-10641/ses-01/func/sub-10641_ses-01_task-trust_run-1_events.tsv	79	42	42	0	5	14	14	14	6	7	7	7	5	5	
10642	01	1	/ZPOOL/data/projects/rf1-sra-linux2/bids/sub-10642/ses-01/func/sub-10642_ses-01_task-trust_run-1_events.tsv	74	42	42	0	10	14	14	14	4	4	7	7	5	5	
10642	01	2	/ZPOOL/data/projects/rf1-sra-linux2/bids/sub-10642/ses-01/func/sub-10642_ses-01_task-trust_run-2_events.tsv	74	42	42	0	10	14	14	14	4	4	7	7	4	6	
10644	01	1	/ZPOOL/data/projects/rf1-sra-linux2/bids/sub-10644/ses-01/func/sub-10644_ses-01_task-trust_run-1_events.tsv	71	42	41	1	12	13	14	14	3	4	7	7	4	4	
10644	01	2	/ZPOOL/data/projects/rf1-sra-linux2/bids/sub-10644/ses-01/func/sub-10644_ses-01_task-trust_run-2_events.tsv	73	42	41	1	10	14	14	13	4	4	7	7	4	5	
10647	01	1	/ZPOOL/data/projects/rf1-sra-linux2/bids/sub-10647/ses-01/func/sub-10647_ses-01_task-trust_run-1_events.tsv	70	42	41	1	13	14	13	14	5	4	6	4	5	4	
10647	01	2	/ZPOOL/data/projects/rf1-sra-linux2/bids/sub-10647/ses-01/func/sub-10647_ses-01_task-trust_run-2_events.tsv	70	42	42	0	14	14	14	14	4	4	5	6	4	5	
10649	01	1	/ZPOOL/data/projects/rf1-sra-linux2/bids/sub-10649/ses-01/func/sub-10649_ses-01_task-trust_run-1_events.tsv	80	42	38	4	0	11	13	14	7	4	7	6	7	7	
10649	01	2	/ZPOOL/data/projects/rf1-sra-linux2/bids/sub-10649/ses-01/func/sub-10649_ses-01_task-trust_run-2_events.tsv	81	42	39	3	0	13	12	14	7	6	6	6	7	7	
10652	01	1	/ZPOOL/data/projects/rf1-sra-linux2/bids/sub-10652/ses-01/func/sub-10652_ses-01_task-trust_run-1_events.tsv	81	42	42	0	3	14	14	14	6	7	7	7	5	7	
10652	01	2	/ZPOOL/data/projects/rf1-sra-linux2/bids/sub-10652/ses-01/func/sub-10652_ses-01_task-trust_run-2_events.tsv	84	42	42	0	0	14	14	14	7	7	7	7	7	7	
10656	01	1	/ZPOOL/data/projects/rf1-sra-linux2/bids/sub-10656/ses-01/func/sub-10656_ses-01_task-trust_run-1_events.tsv	75	42	42	0	9	14	14	14	4	4	6	7	6	6	
10656	01	2	/ZPOOL/data/projects/rf1-sra-linux2/bids/sub-10656/ses-01/func/sub-10656_ses-01_task-trust_run-2_events.tsv	73	42	42	0	11	14	14	14	4	4	6	6	6	5	
10657	01	1	/ZPOOL/data/projects/rf1-sra-linux2/bids/sub-10657/ses-01/func/sub-10657_ses-01_task-trust_run-1_events.tsv	78	42	41	1	5	14	14	13	5	7	6	6	6	6	
10657	01	2	/ZPOOL/data/projects/rf1-sra-linux2/bids/sub-10657/ses-01/func/sub-10657_ses-01_task-trust_run-2_events.tsv	79	42	42	0	5	14	14	14	5	7	7	5	7	6	
10661	01	1	/ZPOOL/data/projects/rf1-sra-linux2/bids/sub-10661/ses-01/func/sub-10661_ses-01_task-trust_run-1_events.tsv	83	42	42	0	1	14	14	14	7	7	7	7	7	6	
10661	01	2	/ZPOOL/data/projects/rf1-sra-linux2/bids/sub-10661/ses-01/func/sub-10661_ses-01_task-trust_run-2_events.tsv	84	42	42	0	0	14	14	14	7	7	7	7	7	7	
10663	01	1	/ZPOOL/data/projects/rf1-sra-linux2/bids/sub-10663/ses-01/func/sub-10663_ses-01_task-trust_run-1_events.tsv	75	42	38	4	5	14	11	13	5	4	5	6	6	7	
10663	01	2	/ZPOOL/data/projects/rf1-sra-linux2/bids/sub-10663/ses-01/func/sub-10663_ses-01_task-trust_run-2_events.tsv	79	42	38	4	1	11	13	14	6	4	6	7	7	7	
10668	01	1	/ZPOOL/data/projects/rf1-sra-linux2/bids/sub-10668/ses-01/func/sub-10668_ses-01_task-trust_run-1_events.tsv	71	42	37	5	8	12	13	12	4	3	6	7	3	6	
10673	01	1	/ZPOOL/data/projects/rf1-sra-linux2/bids/sub-10673/ses-01/func/sub-10673_ses-01_task-trust_run-1_events.tsv	79	42	42	0	5	14	14	14	7	5	6	7	5	7	
10673	01	2	/ZPOOL/data/projects/rf1-sra-linux2/bids/sub-10673/ses-01/func/sub-10673_ses-01_task-trust_run-2_events.tsv	78	42	42	0	6	14	14	14	5	6	6	6	6	7	
10674	01	1	/ZPOOL/data/projects/rf1-sra-linux2/bids/sub-10674/ses-01/func/sub-10674_ses-01_task-trust_run-1_events.tsv	84	42	42	0	0	14	14	14	7	7	7	7	7	7	
10674	01	2	/ZPOOL/data/projects/rf1-sra-linux2/bids/sub-10674/ses-01/func/sub-10674_ses-01_task-trust_run-2_events.tsv	84	42	42	0	0	14	14	14	7	7	7	7	7	7	
10677	01	1	/ZPOOL/data/projects/rf1-sra-linux2/bids/sub-10677/ses-01/func/sub-10677_ses-01_task-trust_run-1_events.tsv	76	42	40	2	6	14	12	14	5	5	5	6	7	6	
10677	01	2	/ZPOOL/data/projects/rf1-sra-linux2/bids/sub-10677/ses-01/func/sub-10677_ses-01_task-trust_run-2_events.tsv	78	42	42	0	6	14	14	14	6	6	7	7	6	4	
10685	01	1	/ZPOOL/data/projects/rf1-sra-linux2/bids/sub-10685/ses-01/func/sub-10685_ses-01_task-trust_run-1_events.tsv	72	42	41	1	11	14	13	14	4	4	6	7	5	4	
10685	01	2	/ZPOOL/data/projects/rf1-sra-linux2/bids/sub-10685/ses-01/func/sub-10685_ses-01_task-trust_run-2_events.tsv	71	42	42	0	13	14	14	14	4	4	6	6	5	4	
10690	01	1	/ZPOOL/data/projects/rf1-sra-linux2/bids/sub-10690/ses-01/func/sub-10690_ses-01_task-trust_run-1_events.tsv	79	42	41	1	4	14	14	13	6	6	6	7	6	6	
10691	01	1	/ZPOOL/data/projects/rf1-sra-linux2/bids/sub-10691/ses-01/func/sub-10691_ses-01_task-trust_run-1_events.tsv	84	42	42	0	0	14	14	14	7	7	7	7	7	7	
10691	01	2	/ZPOOL/data/projects/rf1-sra-linux2/bids/sub-10691/ses-01/func/sub-10691_ses-01_task-trust_run-2_events.tsv	82	42	42	0	2	14	14	14	7	6	7	7	7	6	
10700	01	1	/ZPOOL/data/projects/rf1-sra-linux2/bids/sub-10700/ses-01/func/sub-10700_ses-01_task-trust_run-1_events.tsv	73	42	42	0	11	14	14	14	5	4	7	7	4	4	
10700	01	2	/ZPOOL/data/projects/rf1-sra-linux2/bids/sub-10700/ses-01/func/sub-10700_ses-01_task-trust_run-2_events.tsv	70	42	42	0	14	14	14	14	4	4	5	6	5	4	
10701	01	1	/ZPOOL/data/projects/rf1-sra-linux2/bids/sub-10701/ses-01/func/sub-10701_ses-01_task-trust_run-1_events.tsv	69	42	41	1	14	14	14	13	4	4	5	4	5	5	
10701	01	2	/ZPOOL/data/projects/rf1-sra-linux2/bids/sub-10701/ses-01/func/sub-10701_ses-01_task-trust_run-2_events.tsv	70	42	42	0	14	14	14	14	4	5	4	4	5	6	
10713	01	1	/ZPOOL/data/projects/rf1-sra-linux2/bids/sub-10713/ses-01/func/sub-10713_ses-01_task-trust_run-1_events.tsv	72	42	39	3	9	13	13	13	6	6	5	5	5	3	
10713	01	2	/ZPOOL/data/projects/rf1-sra-linux2/bids/sub-10713/ses-01/func/sub-10713_ses-01_task-trust_run-2_events.tsv	74	42	42	0	10	14	14	14	7	6	5	5	5	4	
10716	01	1	/ZPOOL/data/projects/rf1-sra-linux2/bids/sub-10716/ses-01/func/sub-10716_ses-01_task-trust_run-1_events.tsv	83	42	42	0	1	14	14	14	7	6	7	7	7	7	
10716	01	2	/ZPOOL/data/projects/rf1-sra-linux2/bids/sub-10716/ses-01/func/sub-10716_ses-01_task-trust_run-2_events.tsv	83	42	42	0	1	14	14	14	7	6	7	7	7	7	
10718	01	1	/ZPOOL/data/projects/rf1-sra-linux2/bids/sub-10718/ses-01/func/sub-10718_ses-01_task-trust_run-1_events.tsv	84	42	42	0	0	14	14	14	7	7	7	7	7	7	
10718	01	2	/ZPOOL/data/projects/rf1-sra-linux2/bids/sub-10718/ses-01/func/sub-10718_ses-01_task-trust_run-2_events.tsv	84	42	42	0	0	14	14	14	7	7	7	7	7	7	
10720	01	1	/ZPOOL/data/projects/rf1-sra-linux2/bids/sub-10720/ses-01/func/sub-10720_ses-01_task-trust_run-1_events.tsv	81	42	42	0	3	14	14	14	6	6	7	7	6	7	
10720	01	2	/ZPOOL/data/projects/rf1-sra-linux2/bids/sub-10720/ses-01/func/sub-10720_ses-01_task-trust_run-2_events.tsv	82	42	42	0	2	14	14	14	7	5	7	7	7	7	
10723	01	1	/ZPOOL/data/projects/rf1-sra-linux2/bids/sub-10723/ses-01/func/sub-10723_ses-01_task-trust_run-1_events.tsv	77	42	41	1	6	13	14	14	6	5	6	7	6	5	
10723	01	2	/ZPOOL/data/projects/rf1-sra-linux2/bids/sub-10723/ses-01/func/sub-10723_ses-01_task-trust_run-2_events.tsv	75	42	42	0	9	14	14	14	6	5	5	6	5	6	
10741	01	1	/ZPOOL/data/projects/rf1-sra-linux2/bids/sub-10741/ses-01/func/sub-10741_ses-01_task-trust_run-1_events.tsv	77	42	42	0	7	14	14	14	6	6	7	5	5	6	
10741	01	2	/ZPOOL/data/projects/rf1-sra-linux2/bids/sub-10741/ses-01/func/sub-10741_ses-01_task-trust_run-2_events.tsv	77	42	41	1	6	14	13	14	6	6	4	7	6	6	
10748	01	1	/ZPOOL/data/projects/rf1-sra-linux2/bids/sub-10748/ses-01/func/sub-10748_ses-01_task-trust_run-1_events.tsv	82	42	42	0	2	14	14	14	6	7	6	7	7	7	
10748	01	2	/ZPOOL/data/projects/rf1-sra-linux2/bids/sub-10748/ses-01/func/sub-10748_ses-01_task-trust_run-2_events.tsv	84	42	42	0	0	14	14	14	7	7	7	7	7	7	
10767	01	1	/ZPOOL/data/projects/rf1-sra-linux2/bids/sub-10767/ses-01/func/sub-10767_ses-01_task-trust_run-1_events.tsv	78	42	42	0	6	14	14	14	4	4	7	7	7	7	
10767	01	2	/ZPOOL/data/projects/rf1-sra-linux2/bids/sub-10767/ses-01/func/sub-10767_ses-01_task-trust_run-2_events.tsv	78	42	42	0	6	14	14	14	4	4	7	7	7	7	
10770	01	1	/ZPOOL/data/projects/rf1-sra-linux2/bids/sub-10770/ses-01/func/sub-10770_ses-01_task-trust_run-1_events.tsv	81	42	41	1	2	14	14	13	7	6	7	7	6	6	
10770	01	2	/ZPOOL/data/projects/rf1-sra-linux2/bids/sub-10770/ses-01/func/sub-10770_ses-01_task-trust_run-2_events.tsv	81	42	42	0	3	14	14	14	7	7	6	6	7	6	
10777	01	1	/ZPOOL/data/projects/rf1-sra-linux2/bids/sub-10777/ses-01/func/sub-10777_ses-01_task-trust_run-1_events.tsv	74	42	42	0	10	14	14	14	4	4	7	7	5	5	
10781	01	1	/ZPOOL/data/projects/rf1-sra-linux2/bids/sub-10781/ses-01/func/sub-10781_ses-01_task-trust_run-1_events.tsv	76	42	41	1	7	14	13	14	4	7	7	6	5	5	
10781	01	2	/ZPOOL/data/projects/rf1-sra-linux2/bids/sub-10781/ses-01/func/sub-10781_ses-01_task-trust_run-2_events.tsv	72	42	42	0	12	14	14	14	4	4	7	7	4	4	
10783	01	1	/ZPOOL/data/projects/rf1-sra-linux2/bids/sub-10783/ses-01/func/sub-10783_ses-01_task-trust_run-1_events.tsv	71	42	39	3	10	13	13	13	5	3	7	6	4	4	
10783	01	2	/ZPOOL/data/projects/rf1-sra-linux2/bids/sub-10783/ses-01/func/sub-10783_ses-01_task-trust_run-2_events.tsv	72	42	42	0	12	14	14	14	4	4	6	6	5	5	
10785	01	1	/ZPOOL/data/projects/rf1-sra-linux2/bids/sub-10785/ses-01/func/sub-10785_ses-01_task-trust_run-1_events.tsv	79	42	41	1	4	13	14	14	5	6	7	6	7	6	
10785	01	2	/ZPOOL/data/projects/rf1-sra-linux2/bids/sub-10785/ses-01/func/sub-10785_ses-01_task-trust_run-2_events.tsv	78	42	42	0	6	14	14	14	7	6	6	7	5	5	
10794	01	1	/ZPOOL/data/projects/rf1-sra-linux2/bids/sub-10794/ses-01/func/sub-10794_ses-01_task-trust_run-1_events.tsv	81	42	41	1	2	13	14	14	6	6	7	7	7	6	
10794	01	2	/ZPOOL/data/projects/rf1-sra-linux2/bids/sub-10794/ses-01/func/sub-10794_ses-01_task-trust_run-2_events.tsv	81	42	42	0	3	14	14	14	7	7	6	7	6	6	
10800	01	1	/ZPOOL/data/projects/rf1-sra-linux2/bids/sub-10800/ses-01/func/sub-10800_ses-01_task-trust_run-1_events.tsv	82	42	42	0	2	14	14	14	7	7	7	6	7	6	
10800	01	2	/ZPOOL/data/projects/rf1-sra-linux2/bids/sub-10800/ses-01/func/sub-10800_ses-01_task-trust_run-2_events.tsv	79	42	38	4	1	13	14	11	7	6	6	7	4	7	
10801	01	1	/ZPOOL/data/projects/rf1-sra-linux2/bids/sub-10801/ses-01/func/sub-10801_ses-01_task-trust_run-1_events.tsv	80	42	42	0	4	14	14	14	6	4	7	7	7	7	
10801	01	2	/ZPOOL/data/projects/rf1-sra-linux2/bids/sub-10801/ses-01/func/sub-10801_ses-01_task-trust_run-2_events.tsv	81	42	42	0	3	14	14	14	6	6	7	7	6	7	
10802	01	1	/ZPOOL/data/projects/rf1-sra-linux2/bids/sub-10802/ses-01/func/sub-10802_ses-01_task-trust_run-1_events.tsv	82	42	42	0	2	14	14	14	6	6	7	7	7	7	
10802	01	2	/ZPOOL/data/projects/rf1-sra-linux2/bids/sub-10802/ses-01/func/sub-10802_ses-01_task-trust_run-2_events.tsv	82	42	42	0	2	14	14	14	7	6	7	7	7	6	
10803	01	1	/ZPOOL/data/projects/rf1-sra-linux2/bids/sub-10803/ses-01/func/sub-10803_ses-01_task-trust_run-1_events.tsv	79	42	42	0	5	14	14	14	7	6	6	6	5	7	
10804	01	1	/ZPOOL/data/projects/rf1-sra-linux2/bids/sub-10804/ses-01/func/sub-10804_ses-01_task-trust_run-1_events.tsv	82	42	42	0	2	14	14	14	6	6	7	7	7	7	
10804	01	2	/ZPOOL/data/projects/rf1-sra-linux2/bids/sub-10804/ses-01/func/sub-10804_ses-01_task-trust_run-2_events.tsv	79	42	39	3	2	14	12	13	6	6	6	6	6	7	
10806	01	1	/ZPOOL/data/projects/rf1-sra-linux2/bids/sub-10806/ses-01/func/sub-10806_ses-01_task-trust_run-1_events.tsv	76	42	41	1	7	14	13	14	4	4	6	7	7	6	
10806	01	2	/ZPOOL/data/projects/rf1-sra-linux2/bids/sub-10806/ses-01/func/sub-10806_ses-01_task-trust_run-2_events.tsv	74	42	41	1	9	14	13	14	5	4	6	6	5	6	
10807	01	1	/ZPOOL/data/projects/rf1-sra-linux2/bids/sub-10807/ses-01/func/sub-10807_ses-01_task-trust_run-1_events.tsv	81	42	40	2	1	13	14	13	7	6	7	7	6	6	
10807	01	2	/ZPOOL/data/projects/rf1-sra-linux2/bids/sub-10807/ses-01/func/sub-10807_ses-01_task-trust_run-2_events.tsv	83	42	41	1	0	13	14	14	6	7	7	7	7	7	
10809	01	1	/ZPOOL/data/projects/rf1-sra-linux2/bids/sub-10809/ses-01/func/sub-10809_ses-01_task-trust_run-1_events.tsv	75	42	41	1	8	14	14	13	5	6	7	7	5	3	
10809	01	2	/ZPOOL/data/projects/rf1-sra-linux2/bids/sub-10809/ses-01/func/sub-10809_ses-01_task-trust_run-2_events.tsv	72	42	42	0	12	14	14	14	4	4	6	7	5	4	
10810	01	1	/ZPOOL/data/projects/rf1-sra-linux2/bids/sub-10810/ses-01/func/sub-10810_ses-01_task-trust_run-1_events.tsv	83	42	42	0	1	14	14	14	6	7	7	7	7	7	
10810	01	2	/ZPOOL/data/projects/rf1-sra-linux2/bids/sub-10810/ses-01/func/sub-10810_ses-01_task-trust_run-2_events.tsv	84	42	42	0	0	14	14	14	7	7	7	7	7	7	
10812	01	1	/ZPOOL/data/projects/rf1-sra-linux2/bids/sub-10812/ses-01/func/sub-10812_ses-01_task-trust_run-1_events.tsv	83	42	42	0	1	14	14	14	6	7	7	7	7	7	
10812	01	2	/ZPOOL/data/projects/rf1-sra-linux2/bids/sub-10812/ses-01/func/sub-10812_ses-01_task-trust_run-2_events.tsv	80	42	42	0	4	14	14	14	7	6	7	7	7	4	
10817	01	1	/ZPOOL/data/projects/rf1-sra-linux2/bids/sub-10817/ses-01/func/sub-10817_ses-01_task-trust_run-1_events.tsv	81	42	42	0	3	14	14	14	6	6	7	7	6	7	
10817	01	2	/ZPOOL/data/projects/rf1-sra-linux2/bids/sub-10817/ses-01/func/sub-10817_ses-01_task-trust_run-2_events.tsv	83	42	42	0	1	14	14	14	7	6	7	7	7	7	
10827	01	1	/ZPOOL/data/projects/rf1-sra-linux2/bids/sub-10827/ses-01/func/sub-10827_ses-01_task-trust_run-1_events.tsv	65	42	29	13	6	11	8	10	5	4	5	2	3	4	
10827	01	2	/ZPOOL/data/projects/rf1-sra-linux2/bids/sub-10827/ses-01/func/sub-10827_ses-01_task-trust_run-2_events.tsv	65	42	27	15	4	8	10	9	3	4	3	5	4	4	
10831	01	1	/ZPOOL/data/projects/rf1-sra-linux2/bids/sub-10831/ses-01/func/sub-10831_ses-01_task-trust_run-1_events.tsv	83	42	42	0	1	14	14	14	6	7	7	7	7	7	
10831	01	2	/ZPOOL/data/projects/rf1-sra-linux2/bids/sub-10831/ses-01/func/sub-10831_ses-01_task-trust_run-2_events.tsv	79	42	42	0	5	14	14	14	5	6	6	7	6	7	
10834	01	1	/ZPOOL/data/projects/rf1-sra-linux2/bids/sub-10834/ses-01/func/sub-10834_ses-01_task-trust_run-1_events.tsv	84	42	42	0	0	14	14	14	7	7	7	7	7	7	
10834	01	2	/ZPOOL/data/projects/rf1-sra-linux2/bids/sub-10834/ses-01/func/sub-10834_ses-01_task-trust_run-2_events.tsv	84	42	42	0	0	14	14	14	7	7	7	7	7	7	
10838	01	1	/ZPOOL/data/projects/rf1-sra-linux2/bids/sub-10838/ses-01/func/sub-10838_ses-01_task-trust_run-1_events.tsv	70	42	38	4	10	14	12	12	6	5	5	4	5	3	
10838	01	2	/ZPOOL/data/projects/rf1-sra-linux2/bids/sub-10838/ses-01/func/sub-10838_ses-01_task-trust_run-2_events.tsv	70	42	37	5	9	12	11	14	3	5	4	5	6	5	
10843	01	1	/ZPOOL/data/projects/rf1-sra-linux2/bids/sub-10843/ses-01/func/sub-10843_ses-01_task-trust_run-1_events.tsv	79	42	42	0	5	14	14	14	7	5	7	6	5	7	
