subject	session	run	file	event_rows	trials	valid_choices	misses	zero_investments	choice_computer	choice_friend	choice_stranger	outcome_computer_defect	outcome_computer_recip	outcome_friend_defect	outcome_friend_recip	outcome_stranger_defect	outcome_stranger_recip	missing_expected
10317	01	1	/ZPOOL/data/projects/rf1-sra-linux2/bids/sub-10317/ses-01/func/sub-10317_ses-01_task-trust_run-1_events.tsv	77	42	42	0	7	14	14	14	6	4	7	7	6	5	
10369	01	1	/ZPOOL/data/projects/rf1-sra-linux2/bids/sub-10369/ses-01/func/sub-10369_ses-01_task-trust_run-1_events.tsv	80	42	41	1	3	14	14	13	5	7	7	7	7	5	
10402	01	1	/ZPOOL/data/projects/rf1-sra-linux2/bids/sub-10402/ses-01/func/sub-10402_ses-01_task-trust_run-1_events.tsv	83	42	41	1	0	14	13	14	7	7	6	7	7	7	
10402	01	2	/ZPOOL/data/projects/rf1-sra-linux2/bids/sub-10402/ses-01/func/sub-10402_ses-01_task-trust_run-2_events.tsv	83	42	42	0	1	14	14	14	7	6	7	7	7	7	
10418	01	1	/ZPOOL/data/projects/rf1-sra-linux2/bids/sub-10418/ses-01/func/sub-10418_ses-01_task-trust_run-1_events.tsv	82	42	42	0	2	14	14	14	5	7	7	7	7	7	
10418	01	2	/ZPOOL/data/projects/rf1-sra-linux2/bids/sub-10418/ses-01/func/sub-10418_ses-01_task-trust_run-2_events.tsv	82	42	42	0	2	14	14	14	7	7	7	7	6	6	
10462	01	1	/ZPOOL/data/projects/rf1-sra-linux2/bids/sub-10462/ses-01/func/sub-10462_ses-01_task-trust_run-1_events.tsv	75	42	41	1	8	13	14	14	3	6	6	6	7	5	
10478	01	1	/ZPOOL/data/projects/rf1-sra-linux2/bids/sub-10478/ses-01/func/sub-10478_ses-01_task-trust_run-1_events.tsv	78	42	41	1	5	13	14	14	5	6	7	7	5	6	
10478	01	2	/ZPOOL/data/projects/rf1-sra-linux2/bids/sub-10478/ses-01/func/sub-10478_ses-01_task-trust_run-2_events.tsv	81	42	41	1	2	14	14	13	5	7	7	7	6	7	
10486	01	1	/ZPOOL/data/projects/rf1-sra-linux2/bids/sub-10486/ses-01/func/sub-10486_ses-01_task-trust_run-1_events.tsv	84	42	42	0	0	14	14	14	7	7	7	7	7	7	
10529	01	1	/ZPOOL/data/projects/rf1-sra-linux2/bids/sub-10529/ses-01/func/sub-10529_ses-01_task-trust_run-1_events.tsv	81	42	41	1	2	14	14	13	7	5	7	7	6	7	
