subject	session	run	reason
10836	01		no canonical Trust events
10913	01		no canonical Trust events
10929	01	1	BOLD,confounds
10951	01		no canonical Trust events
11110	01		no canonical Trust events
11145	01		no canonical Trust events
11201	01		no canonical Trust events
11241	01		no canonical Trust events
11317	01		no canonical Trust events
11343	01		no canonical Trust events
11432	01		no canonical Trust events
11450	01		no canonical Trust events
11694	01		no canonical Trust events
11719	01		no canonical Trust events
11753	01		no canonical Trust events
11772	01		no canonical Trust events
11836	01		no canonical Trust events
