Cluster Index	Z	x	y	z	
17	7.86	8.8	10.6	-7.22
17	7	-12.8	16	-4.25
17	5.38	-47.9	-24.5	10.6
17	5.3	57.4	-11	4.66
17	5.09	0.7	-13.7	55.2
17	5.01	-53.3	-0.2	-4.25
16	4.69	-4.7	-73.1	10.6
16	4.64	8.8	-92	1.69
16	4.46	16.9	-56.9	7.63
16	4.45	3.4	-62.3	10.6
16	4.39	-42.5	-51.5	-16.1
16	4.38	8.8	-67.7	13.6
15	4.79	-39.8	-16.4	49.2
15	4.54	-47.9	-13.7	52.2
15	4.27	-50.6	-16.4	43.3
15	3.91	-42.5	-11	55.2
15	3.9	-45.2	-19.1	58.1
15	3.89	-37.1	-5.6	55.2
14	4.39	14.2	-67.7	-51.8
14	4.14	3.4	-70.4	-34
14	3.97	27.7	-59.6	-54.7
14	3.95	6.1	-75.8	-34
14	3.89	25	-67.7	-57.7
14	3.85	16.9	-78.5	-45.8
13	3.99	35.8	10.6	31.4
13	3.92	52	16	37.3
13	3.81	35.8	10.6	22.5
13	3.79	46.6	7.9	37.3
13	3.68	49.3	13.3	25.5
13	3.64	49.3	7.9	16.5
12	4.6	6.1	-27.2	-1.28
12	4.57	-2	-29.9	1.69
12	4.05	-10.1	-40.7	1.69
12	3.98	0.7	-38	-7.22
12	3.55	-7.4	-19.1	-1.28
12	3.38	-15.5	-16.4	4.66
11	3.99	33.1	45.7	34.4
11	3.93	43.9	32.2	34.4
11	3.91	35.8	53.8	22.5
11	3.88	25	43	22.5
11	3.75	38.5	37.6	34.4
11	3.62	27.7	53.8	28.4
10	4.16	-37.1	-51.5	52.2
10	4.04	-47.9	-43.4	55.2
10	4.01	-37.1	-38	52.2
10	3.41	-37.1	-51.5	64.1
9	4.22	-50.6	-29.9	40.3
9	3.43	-58.7	-24.5	49.2
8	3.89	30.4	34.9	43.3
8	3.6	25	32.2	34.4
8	3.56	33.1	26.8	46.2
8	3.5	22.3	26.8	34.4
7	3.99	-34.4	-92	-10.2
6	4.14	11.5	-29.9	43.3
6	3.33	11.5	-19.1	40.3
5	4	-50.6	7.9	19.5
5	3.68	-56	10.6	31.4
4	4.22	-18.2	-11	70
3	3.88	-2	-48.8	-34
3	3.75	-2	-54.2	-31
3	3.2	0.7	-59.6	-36.9
2	3.86	-15.5	-0.2	19.5
2	3.75	-10.1	-13.7	16.5
2	3.37	-18.2	-21.8	22.5
1	3.69	16.9	13.3	58.1
1	3.68	8.8	16	67
