Cluster Index	Voxels	P	-log10(P)	Z-MAX	Z-MAX X (mm)	Z-MAX Y (mm)	Z-MAX Z (mm)	Z-COG X (mm)	Z-COG Y (mm)	Z-COG Z (mm)	COPE-MAX	COPE-MAX X (mm)	COPE-MAX Y (mm)	COPE-MAX Z (mm)	COPE-MEAN
17	5418	0	119	7.86	8.8	10.6	-7.22	11.8	-10.3	17.3	2.86	-4.7	7.9	-1.28	0.463
16	2163	0	63.9	4.69	-4.7	-73.1	10.6	-9.14	-67.2	-0.949	1.05	11.5	-38	-1.28	0.354
15	199	1.91e-12	11.7	4.79	-39.8	-16.4	49.2	-40.5	-13.9	50.6	0.661	-37.1	-19.1	46.2	0.365
14	197	2.35e-12	11.6	4.39	14.2	-67.7	-51.8	11.9	-69.1	-45	0.628	3.4	-67.7	-48.8	0.368
13	122	1e-08	8	3.99	35.8	10.6	31.4	43.3	11.7	28.6	0.538	52	16	37.3	0.352
12	98	1.79e-07	6.75	4.6	6.1	-27.2	-1.28	-2.69	-30.2	-0.0856	1.33	-2	-27.2	1.69	0.773
11	98	1.79e-07	6.75	3.99	33.1	45.7	34.4	32.4	46.6	28.2	0.392	35.8	45.7	31.4	0.285
10	73	6.26e-06	5.2	4.16	-37.1	-51.5	52.2	-40.6	-44.4	55.4	0.577	-39.8	-40.7	61.1	0.389
9	58	5.87e-05	4.23	4.22	-50.6	-29.9	40.3	-49.7	-30.7	43.2	0.461	-53.3	-32.6	52.2	0.347
8	46	0.000407	3.39	3.89	30.4	34.9	43.3	28.7	31.7	44	0.557	30.4	29.5	49.2	0.387
7	39	0.00136	2.87	3.99	-34.4	-92	-10.2	-33.8	-91.5	-10	0.33	-39.8	-89.3	-10.2	0.224
6	32	0.0049	2.31	4.14	11.5	-29.9	43.3	11.6	-28.5	42.8	0.455	11.5	-29.9	43.3	0.343
5	32	0.0049	2.31	4	-50.6	7.9	19.5	-52.5	8.16	24.2	0.478	-50.6	7.9	19.5	0.364
4	29	0.00871	2.06	4.22	-18.2	-11	70	-17.3	-10.5	70.8	0.464	-18.2	-8.3	75.9	0.352
3	26	0.0158	1.8	3.88	-2	-48.8	-34	-4.12	-52.1	-34.5	0.842	-4.7	-48.8	-31	0.55
2	25	0.0193	1.71	3.86	-15.5	-0.2	19.5	-13.8	-8.21	18.7	0.566	-12.8	-16.4	19.5	0.448
1	23	0.0292	1.53	3.69	16.9	13.3	58.1	12.6	15.2	61.9	0.533	8.8	18.7	67	0.365
