sub,friend_trustworthy,stranger_trustworthy,computer_trustworthy,friend_likeable,stranger_likeable,computer_likeable,friend_approachable,stranger_approachable,computer_approachable,Unknown_Unknown
10940,2.0,0.0,2.0,2.0,1.0,2.0,0.0,1.0,3.0,
10589,-1.0,-2.0,-3.0,2.0,1.0,0.0,3.0,3.0,-2.0,
11071,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
10555,5.0,0.0,2.0,5.0,1.0,2.0,5.0,2.0,3.0,
10875,3.0,1.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,
10802,4.0,2.0,0.0,3.0,2.0,0.0,3.0,3.0,0.0,
10656,2.0,1.0,-5.0,1.0,1.0,0.0,2.0,2.0,0.0,
10854,5.0,0.0,-3.0,4.0,4.0,-2.0,1.0,5.0,-2.0,
10590,5.0,3.0,-4.0,5.0,4.0,-5.0,5.0,3.0,-2.0,
10953,0.0,5.0,0.0,2.0,0.0,1.0,5.0,2.0,1.0,
10924,4.0,2.0,-2.0,3.0,4.0,-3.0,2.0,3.0,5.0,
10770,5.0,-1.0,0.0,5.0,0.0,-5.0,5.0,3.0,0.0,
11068,-1.0,0.0,-4.0,5.0,0.0,0.0,4.0,4.0,-2.0,
10794,5.0,-3.0,2.0,5.0,0.0,2.0,0.0,-1.0,0.0,
10677,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-1.0,
10866,5.0,4.0,0.0,5.0,5.0,0.0,3.0,4.0,0.0,
10961,4.0,-2.0,-4.0,3.0,0.0,-5.0,5.0,0.0,-5.0,
10638,5.0,4.0,0.0,5.0,5.0,0.0,5.0,4.0,0.0,
10748,4.0,3.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,
10642,5.0,2.0,-5.0,4.0,1.0,-5.0,3.0,3.0,-3.0,
10541,4.0,0.0,1.0,5.0,0.0,0.0,4.0,1.0,0.0,
10966,3.0,3.0,0.0,2.0,4.0,0.0,3.0,4.0,0.0,
11065,5.0,2.0,-1.0,5.0,4.0,-3.0,1.0,2.0,0.0,
11012,5.0,0.0,-5.0,5.0,5.0,-5.0,5.0,5.0,-4.0,
10777,4.0,1.0,0.0,4.0,2.0,0.0,4.0,3.0,0.0,
10929,5.0,0.0,0.0,5.0,0.0,0.0,5.0,0.0,0.0,
10954,5.0,4.0,0.0,4.0,4.0,0.0,4.0,3.0,0.0,
11039,5.0,3.0,-5.0,5.0,5.0,-5.0,5.0,4.0,-5.0,
10896,4.0,-4.0,1.0,5.0,-3.0,3.0,4.0,4.0,5.0,
10908,5.0,2.0,2.0,0.0,1.0,0.0,5.0,1.0,1.0,
10663,5.0,3.0,2.0,5.0,3.0,2.0,5.0,4.0,1.0,
11076,5.0,0.0,0.0,5.0,2.0,-5.0,5.0,2.0,-3.0,
10713,5.0,0.0,5.0,4.0,-3.0,0.0,5.0,-2.0,0.0,
10584,4.0,4.0,0.0,4.0,4.0,0.0,3.0,5.0,0.0,
10930,5.0,2.0,-5.0,5.0,4.0,0.0,4.0,4.0,0.0,
11072,2.0,0.0,0.0,4.0,0.0,0.0,5.0,3.0,0.0,
11005,5.0,-4.0,0.0,2.0,2.0,1.0,1.0,2.0,3.0,
11078,5.0,2.0,0.0,4.0,0.0,-3.0,3.0,2.0,0.0,
10898,5.0,0.0,-5.0,5.0,3.0,0.0,5.0,5.0,0.0,
10801,4.0,3.0,0.0,4.0,3.0,1.0,1.0,3.0,0.0,
10674,5.0,2.0,0.0,5.0,3.0,0.0,5.0,4.0,0.0,
10603,5.0,5.0,0.0,5.0,2.0,-4.0,5.0,2.0,5.0,
10690,5.0,0.0,0.0,5.0,4.0,-3.0,5.0,2.0,0.0,
11016,5.0,0.0,0.0,5.0,5.0,0.0,5.0,5.0,2.0,
10950,1.0,1.0,0.0,3.0,2.0,0.0,3.0,3.0,0.0,
10857,3.0,-1.0,1.0,5.0,2.0,1.0,5.0,3.0,0.0,
11053,5.0,4.0,0.0,5.0,5.0,0.0,5.0,5.0,0.0,
10741,5.0,3.0,3.0,2.0,2.0,1.0,3.0,2.0,2.0,
10881,3.0,2.0,5.0,5.0,0.0,4.0,5.0,3.0,5.0,
10812,0.0,2.0,-2.0,5.0,2.0,-1.0,3.0,2.0,-1.0,
10918,5.0,0.0,0.0,5.0,0.0,0.0,5.0,-1.0,5.0,
10862,5.0,4.0,0.0,5.0,5.0,0.0,5.0,4.0,0.0,
10641,5.0,1.0,3.0,2.0,1.0,1.0,4.0,3.0,3.0,
10636,5.0,4.0,-3.0,5.0,5.0,-5.0,5.0,5.0,-5.0,
10827,5.0,-2.0,2.0,5.0,2.0,1.0,5.0,3.0,1.0,
10850,3.0,-1.0,-4.0,4.0,3.0,-4.0,2.0,3.0,-4.0,
10673,2.0,1.0,0.0,3.0,-1.0,0.0,-1.0,1.0,0.0,
11116,-3.0,0.0,0.0,-3.0,1.0,0.0,-1.0,2.0,3.0,
10774,4.0,2.0,0.0,4.0,3.0,0.0,3.0,3.0,0.0,
10806,3.0,0.0,-5.0,5.0,2.0,-4.0,2.0,2.0,-3.0,
10998,3.0,-2.0,0.0,4.0,-2.0,0.0,5.0,2.0,1.0,
11030,5.0,1.0,0.0,5.0,0.0,0.0,5.0,1.0,0.0,
10652,5.0,0.0,0.0,5.0,0.0,0.0,5.0,-2.0,0.0,
10834,5.0,4.0,0.0,5.0,4.0,0.0,5.0,4.0,0.0,
10843,5.0,3.0,3.0,3.0,4.0,1.0,3.0,5.0,0.0,
10767,4.0,2.0,-1.0,5.0,3.0,-2.0,5.0,2.0,-2.0,
11075,5.0,0.0,-1.0,5.0,0.0,-5.0,5.0,0.0,-5.0,
10783,5.0,3.0,2.0,5.0,3.0,2.0,5.0,4.0,3.0,
10617,5.0,0.0,0.0,5.0,0.0,0.0,5.0,0.0,0.0,
10720,4.0,4.0,0.0,3.0,5.0,-1.0,5.0,5.0,0.0,
10804,-3.0,0.0,-2.0,-1.0,0.0,0.0,0.0,2.0,0.0,
10559,2.0,0.0,0.0,1.0,0.0,0.0,5.0,0.0,0.0,
10897,5.0,1.0,0.0,5.0,1.0,0.0,3.0,1.0,0.0,
10974,5.0,3.0,0.0,5.0,5.0,0.0,4.0,4.0,0.0,
10668,-2.0,5.0,-5.0,4.0,4.0,-5.0,5.0,5.0,-5.0,
10718,4.0,2.0,2.0,5.0,2.0,0.0,5.0,2.0,0.0,
10781,5.0,-2.0,0.0,5.0,1.0,0.0,3.0,3.0,0.0,
10836,5.0,0.0,0.0,5.0,0.0,0.0,5.0,2.0,0.0,
10585,5.0,5.0,3.0,5.0,5.0,3.0,5.0,5.0,3.0,
10649,5.0,5.0,3.0,5.0,5.0,-2.0,5.0,4.0,-3.0,
11021,5.0,2.0,4.0,4.0,2.0,0.0,1.0,2.0,0.0,
10860,5.0,5.0,0.0,5.0,4.0,0.0,5.0,5.0,0.0,
10817,5.0,0.0,0.0,5.0,0.0,0.0,3.0,3.0,-3.0,
10983,5.0,3.0,0.0,5.0,0.0,-3.0,5.0,1.0,0.0,
10606,5.0,2.0,0.0,4.0,2.0,0.0,2.0,2.0,0.0,
11064,4.0,0.0,-5.0,4.0,2.0,1.0,2.0,5.0,0.0,
10701,4.0,-2.0,0.0,3.0,1.0,-4.0,-2.0,2.0,5.0,
10596,5.0,2.0,-2.0,5.0,1.0,-1.0,3.0,1.0,0.0,
10858,5.0,3.0,0.0,4.0,3.0,-1.0,2.0,2.0,1.0,
10402,4.0,0.0,-2.0,4.0,2.0,0.0,3.0,2.0,0.0,
10928,5.0,0.0,0.0,3.0,0.0,0.0,4.0,0.0,0.0,
10572,5.0,3.0,3.0,5.0,5.0,0.0,5.0,5.0,0.0,
10952,5.0,4.0,0.0,5.0,5.0,0.0,5.0,5.0,0.0,
10478,,,,,,,,,,0.0
10958,5.0,3.0,0.0,5.0,3.0,0.0,5.0,0.0,0.0,
