sub,friend_trustworthy,stranger_trustworthy,computer_trustworthy,friend_likeable,stranger_likeable,computer_likeable,friend_approachable,stranger_approachable,computer_approachable,Unknown_Unknown
11063,3.0,2.0,0.0,5.0,3.0,0.0,4.0,4.0,0.0,
10984,5.0,0.0,0.0,5.0,2.0,0.0,5.0,2.0,0.0,
10810,5.0,3.0,0.0,5.0,3.0,0.0,5.0,4.0,0.0,
10644,5.0,0.0,0.0,5.0,0.0,0.0,5.0,0.0,0.0,
10831,5.0,5.0,0.0,5.0,3.0,0.0,5.0,3.0,0.0,
11007,4.0,-1.0,0.0,5.0,-1.0,0.0,3.0,1.0,0.0,
10979,4.0,3.0,0.0,4.0,4.0,0.0,4.0,5.0,0.0,
10529,4.0,2.0,3.0,5.0,3.0,0.0,4.0,4.0,0.0,
10809,5.0,3.0,0.0,5.0,3.0,0.0,5.0,3.0,-1.0,
10317,5.0,0.0,0.0,5.0,2.0,0.0,4.0,2.0,0.0,
11042,5.0,2.0,0.0,5.0,2.0,0.0,5.0,3.0,0.0,
10657,4.0,-2.0,0.0,4.0,1.0,0.0,3.0,2.0,0.0,
10807,5.0,0.0,0.0,5.0,3.0,-3.0,5.0,3.0,-5.0,
11031,5.0,-4.0,-2.0,4.0,-3.0,-3.0,2.0,-4.0,-2.0,
10723,3.0,-1.0,-2.0,4.0,2.0,0.0,4.0,2.0,0.0,
10659,5.0,0.0,0.0,5.0,0.0,0.0,5.0,0.0,0.0,
10418,4.0,4.0,5.0,5.0,4.0,4.0,5.0,4.0,5.0,
10938,5.0,0.0,0.0,5.0,3.0,0.0,5.0,3.0,0.0,
10661,5.0,3.0,0.0,5.0,5.0,0.0,5.0,4.0,0.0,
11090,5.0,0.0,0.0,5.0,3.0,3.0,5.0,3.0,0.0,
10685,5.0,5.0,5.0,5.0,4.0,3.0,5.0,5.0,5.0,
11074,5.0,-5.0,0.0,5.0,0.0,0.0,5.0,3.0,0.0,
10919,4.0,4.0,3.0,3.0,4.0,2.0,3.0,4.0,3.0,
10863,5.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,-5.0,
10964,4.0,0.0,2.0,3.0,3.0,3.0,0.0,0.0,0.0,
10887,5.0,1.0,1.0,5.0,1.0,1.0,5.0,1.0,1.0,
10640,1.0,0.0,0.0,3.0,1.0,0.0,4.0,2.0,0.0,
10956,5.0,5.0,0.0,5.0,5.0,0.0,5.0,5.0,0.0,
11083,5.0,0.0,0.0,5.0,1.0,0.0,5.0,0.0,0.0,
10691,5.0,2.0,2.0,4.0,2.0,2.0,5.0,4.0,3.0,
10608,5.0,3.0,0.0,5.0,4.0,0.0,3.0,3.0,0.0,
11060,5.0,1.0,0.0,5.0,3.0,0.0,3.0,5.0,0.0,
10951,4.0,-3.0,0.0,4.0,-1.0,0.0,5.0,1.0,0.0,
10926,2.0,1.0,-3.0,2.0,3.0,-2.0,2.0,3.0,-3.0,
11058,4.0,2.0,-3.0,5.0,4.0,-3.0,2.0,3.0,5.0,
10647,2.0,-2.0,-5.0,1.0,-2.0,-5.0,2.0,-2.0,-5.0,
10969,5.0,3.0,1.0,5.0,5.0,1.0,4.0,5.0,1.0,
10785,2.0,3.0,-1.0,2.0,3.0,-4.0,1.0,2.0,0.0,
10716,5.0,4.0,0.0,5.0,4.0,0.0,5.0,4.0,0.0,
10838,5.0,-5.0,0.0,5.0,-5.0,0.0,5.0,-5.0,0.0,
10462,5.0,5.0,0.0,5.0,5.0,0.0,5.0,3.0,0.0,
10486,5.0,5.0,2.0,4.0,5.0,0.0,2.0,4.0,1.0,
10369,,,,,,,,,,3.0
11036,4.0,0.0,-1.0,5.0,3.0,1.0,1.0,1.0,3.0,
10800,3.0,0.0,-1.0,3.0,1.0,-1.0,2.0,2.0,-2.0,
