sub_id,ios_stranger,ios_friend,ios_computer,fs_ios,fc_ios,age
10317,2,3,1,3,2,62.96
10369,1,4,1,4,3,31.95
10391,2,4,1,4,3,44.21
10402,2,4,5,4,-1,35.94
10418,2,3,3,3,0,68.64
10462,1,3,1,3,2,62.04
10478,3,7,4,7,3,27.9
10486,4,4,4,4,0,41.91
10529,1,7,1,7,6,67.8
10541,1,3,1,3,2,69.16
10555,1,5,1,5,4,28.86
10559,1,5,2,5,3,28.31
10572,1,2,1,2,1,70.46
10581,5,2,2,2,0,48.03
10584,1,6,2,6,4,49.64
10585,1,7,1,7,6,63.33
10589,3,5,1,5,4,34.87
10590,1,4,1,4,3,56.4
10596,1,4,1,4,3,27.27
10603,4,7,1,7,6,69.22
10606,1,5,1,5,4,22.4
10608,1,4,1,4,3,29.07
10617,4,6,2,6,4,73.4
10636,5,7,1,7,6,26.81
10638,1,6,1,6,5,71.83
10641,1,7,1,6,6,31.73
10642,1,2,4,7,6,44.68
10644,1,6,1,2,-2,31.9
10647,2,5,1,6,5,69.41
10649,1,6,1,5,4,24.59
10652,1,2,1,6,5,63.8
10656,5,7,2,2,1,70.05
10657,1,4,1,7,5,21.43
10659,1,6,4,4,3,58.98
10661,1,7,1,6,2,62.39
10663,1,7,1,7,6,0
10668,1,3,1,7,6,22.07
10673,1,7,1,1,2,0
10674,5,7,2,7,6,48.6
10677,1,7,1,7,5,33.2
10685,1,2,1,7,6,33.37
10690,1,2,1,2,1,34.43
10691,1,6,1,2,1,0
10700,3,6,2,6,5,58.27
10701,3,6,1,6,4,23.61
10716,1,4,1,6,5,27.02
10720,1,6,2,0,0,71.53
10723,1,5,5,4,3,69.13
10741,1,6,1,4,4,28.3
10767,2,5,2,6,4,33.44
10773,2,7,1,5,0,21.7
10774,4,6,3,6,5,36.93
10777,2,5,4,7,4,33.3
10781,1,4,1,1,3,25.51
10783,1,2,3,4,2,64.52
10785,1,6,1,6,3,0
10794,2,4,2,5,1,38.36
10800,1,4,3,4,3,37.53
10802,3,5,1,2,-1,51.18
10803,1,6,2,4,5,61.23
10804,1,2,1,2,2,39.69
10806,1,5,1,4,1,26.85
10812,3,7,4,2,5,34.53
,,,,-1,4,42.69
,,,,6,4,21.66
,,,,2,1,25.5
,,,,4,4,26.99
,,,,3,3,58.05
,,,,1,5,68.77
,,,,4,3,62.91
