sub,computer_defect,computer_recip,stranger_defect,stranger_recip,friend_defect,friend_recip,fs_recip,fc_recip,fs_def,fc_def,age,CORREL
10317,2.8,4,2.8,5.2,6.857143,4.666667,-0.533333,0.666667,4.057143,4.057143,62.96,-0.091269063
10369,4.5,4.285714,3,4.8,5.428571,4.666667,-0.133333,0.380953,2.428571,0.928571,31.95,
10402,3.714286,3.166667,4.153846,4.857143,4,5.384615,0.527472,2.217948,-0.153846,0.285714,35.94,
10418,4.666667,3.538462,4.333333,3.384615,5.692308,6.142857,2.758242,2.604395,1.358975,1.025641,68.64,
10462,2,3,2.857143,3.5,3.666667,5.2,1.7,2.2,0.809524,1.666667,62.04,
10478,4.4,4.833333,5,4.307692,5.571429,6.307692,2,1.474359,0.571429,1.171429,27.9,
10486,5.666667,6,5,6.571429,6.857143,4.666667,-1.904762,-1.333333,1.857143,1.190476,41.91,
10529,4.142857,4.727273,3.818182,4.857143,5.384615,4.461538,-0.395605,-0.265735,1.566433,1.241758,67.8,
10541,5.384615,5.142857,3.833333,4.5,6,4.166667,-0.333333,-0.97619,2.166667,0.615385,69.16,
10572,3,3.090909,3.5,3.454545,4.545455,3.166667,-0.287878,0.075758,1.045455,1.545455,70.46,
10581,3.4,2.25,4.545455,3,6.545455,5.571429,2.571429,3.321429,2,3.145455,48.03,
10584,3.571429,3.8,2.833333,5.090909,3.090909,2.25,-2.840909,-1.55,0.257576,-0.48052,49.64,
10585,4.666667,4.363636,4.923077,4.769231,5.714286,5.833333,1.064102,1.469697,0.791209,1.047619,63.33,
10589,3.857143,4.461538,3.846154,4.615385,6,5,0.384615,0.538462,2.153846,2.142857,34.87,
10590,2.222222,3.5,3.076923,4.333333,5.857143,6.166667,1.833334,2.666667,2.78022,3.634921,56.4,
10596,3.272727,5.25,5.076923,6.142857,6.461538,5.142857,-1,-0.107143,1.384615,3.188811,27.27,
10603,4.5,4.5,3.2,3,5.5,5,2,0.5,2.3,1,69.22,
10606,5.384615,6.166667,5.230769,6,6.307692,5.571429,-0.428571,-0.595238,1.076923,0.923077,22.4,
10608,3,2,2.4,2.5,6.857143,4.666667,2.166667,2.666667,4.457143,3.857143,29.07,
10617,5.2,3.6,4.666667,4.571429,5.428571,3.666667,-0.904762,0.066667,0.761904,0.228571,73.4,
10636,5.692308,5.666667,4.923077,6.5,6.666667,5.846154,-0.653846,0.179487,1.74359,0.974359,26.81,
10638,5.714286,6.166667,5.076923,6.428571,6.461538,5.428571,-1,-0.738096,1.384615,0.747252,71.83,
10640,3,5.5,2.222222,3.555556,5,4.909091,1.353535,-0.590909,2.777778,2,31.73,
10641,3.6,4.571429,2.5,3.6,6.285714,6.333333,2.733333,1.761904,3.785714,2.685714,44.68,
10642,2.285714,2.5,2.666667,2.6,5.857143,6,3.4,3.5,3.190476,3.571429,31.9,
10644,2.857143,4,3.142857,3.777778,5.692308,6.142857,2.365079,2.142857,2.549451,2.835165,69.41,
10647,2.25,2.5,2.444444,2.5,3.4,2.8,0.3,0.3,0.955556,1.15,24.59,
10649,5.571429,5.777778,5.384615,6.428571,6.333333,5.333333,-1.095238,-0.444445,0.948718,0.761904,63.8,
10652,4,4.714286,4,4.615385,5.142857,5.076923,0.461538,0.362637,1.142857,1.142857,70.05,
10656,2.5,2.571429,3.090909,2.909091,3.090909,2.923077,0.013986,0.351648,0,0.590909,21.43,
10659,5.857143,5.833333,6.153846,5.538462,5,5.166667,-0.371795,-0.666666,-1.153846,-0.857143,62.39,
10663,2.6,3.75,3,3.571429,3.4,4.615385,1.043956,0.865385,0.4,0.8,22.07,
10668,2.666667,6,4,5.2,5.333333,4.666667,-0.533333,-1.333333,1.333333,2.666666,37.37,
10673,3.833333,5.4,4.4,3.714286,5.818182,3.538462,-0.175824,-1.861538,1.418182,1.984849,48.6,
10674,5.285714,6.923077,6.857143,5.384615,5.692308,6.142857,0.758242,-0.78022,-1.164835,0.406594,33.2,
10677,3.636364,4.6,2.833333,4.8,5.090909,4.615385,-0.184615,0.015385,2.257576,1.454545,33.37,
10685,2.75,3.428571,3.333333,4.75,6.181818,6.153846,1.403846,2.725275,2.848485,3.431818,34.43,
10690,3.2,4,4.8,4.333333,5,5.333333,1,1.333333,0.2,1.8,56.16,
10691,5.571429,6.5,6.857143,5.333333,5.692308,5.714286,0.380953,-0.785714,-1.164835,0.120879,58.27,
10700,4.222222,2.285714,2.5,4,5.666667,6.5,2.5,4.214286,3.166667,1.444445,23.61,
10701,4.5,2.75,3.555556,3.272727,3,4,0.727273,1.25,-0.555556,-1.5,27.02,
10713,2.769231,5.090909,2.666667,3.142857,4.666667,4.2,1.057143,-0.890909,2,1.897436,71.53,
10716,2.857143,5.272727,3.692308,4.428571,4.923077,3.142857,-1.285714,-2.12987,1.230769,2.065934,69.13,
10718,6.615385,5.714286,5.857143,6.461538,6.285714,5.230769,-1.230769,-0.483517,0.428571,-0.329671,28.3,
10720,3.230769,3.4,4,4.714286,5.076923,4.857143,0.142857,1.457143,1.076923,1.846154,33.44,
10723,4.5,3.333333,4,3.454545,4.363636,4.666667,1.212122,1.333334,0.363636,-0.136364,21.7,
10741,4,3.666667,3.272727,3.272727,6.181818,4.727273,1.454546,1.060606,2.909091,2.181818,36.93,
10748,4.307692,6.461538,4.285714,4.307692,5.538462,5.384615,1.076923,-1.076923,1.252748,1.23077,33.3,
10767,2.25,2.857143,3.538462,3.714286,5.857143,6.307692,2.593406,3.450549,2.318681,3.607143,25.51,
10770,6,4.333333,4,4.833333,5.833333,3.692308,-1.141025,-0.641025,1.833333,-0.166667,64.52,
10781,3.428571,3.272727,2.444444,2.5,6.571429,4.833333,2.333333,1.560606,4.126985,3.142858,37.53,
10783,2.888889,2,2.75,2.444444,5.076923,3.090909,0.646465,1.090909,2.326923,2.188034,51.18,
10785,2.833333,3.090909,2.545455,3.636364,3.666667,2.461538,-1.174826,-0.629371,1.121212,0.833334,61.23,
10794,3.230769,3.333333,2.769231,3.090909,4.307692,4.153846,1.062937,0.820513,1.538461,1.076923,39.69,
10800,5.571429,6,4.6,6.307692,5,5.076923,-1.230769,-0.923077,0.4,-0.571429,26.85,
10801,5.666667,6,5.833333,5.714286,5.857143,6.153846,0.43956,0.153846,0.02381,0.190476,34.53,
10802,3.076923,3.636364,3.428571,3.166667,4.923077,4.428571,1.261904,0.792207,1.494506,1.846154,42.69,
10803,3.333333,4.333333,5.6,4.666667,4.666667,2.4,-2.266667,-1.933333,-0.933333,1.333334,21.66,
10804,5.272727,5.166667,6,4.285714,6.615385,4.333333,0.047619,-0.833334,0.615385,1.342658,25.5,
10806,2.222222,2.857143,4,4.333333,4.5,6.5,2.166667,3.642857,0.5,2.277778,26.99,
10807,5.076923,6.333333,5.666667,5.384615,6.153846,6,0.615385,-0.333333,0.487179,1.076923,58.05,
10809,2.75,3.2,2.8,3.333333,4,4.285714,0.952381,1.085714,1.2,1.25,68.77,
10812,3.666667,4.153846,5.230769,4,6.428571,5.076923,1.076923,0.923077,1.197802,2.761904,62.91,
