subject,computer,friend,stranger
sub-10317,2.6666666666666665,6.0,3.36
sub-10369,4.3076923076923075,5.285714285714286,3.52
sub-10402,3.5636363636363635,4.666666666666667,4.428571428571429
sub-10418,3.925925925925926,6.0,3.6296296296296298
sub-10462,2.727272727272727,4.3076923076923075,2.769230769230769
sub-10478,4.16,5.857142857142857,4.313725490196078
sub-10486,6.0,6.0,6.0
sub-10529,4.148148148148148,5.037037037037037,4.3076923076923075
sub-10541,5.142857142857143,5.0,4.153846153846154
sub-10555,5.481481481481482,4.769230769230769,3.52
sub-10559,1.9555555555555555,2.4761904761904763,2.380952380952381
sub-10572,3.0,3.607843137254902,3.1538461538461537
sub-10581,2.488888888888889,5.703703703703703,3.6444444444444444
sub-10584,3.3962264150943398,2.5,3.843137254901961
sub-10585,4.3076923076923075,5.527272727272727,4.7272727272727275
sub-10589,4.071428571428571,5.571428571428571,4.290909090909091
sub-10590,2.1739130434782608,5.818181818181818,3.5555555555555554
sub-10596,3.739130434782609,5.857142857142857,5.571428571428571
sub-10603,3.5555555555555554,5.056603773584905,2.723404255319149
sub-10606,5.6923076923076925,6.0,5.703703703703703
sub-10608,1.9130434782608696,6.0,2.0
sub-10617,3.68,4.857142857142857,4.428571428571429
sub-10636,5.555555555555555,6.188679245283019,5.660377358490566
sub-10638,6.0,6.0,5.857142857142857
sub-10640,3.2,4.48,2.347826086956522
sub-10641,3.8518518518518516,6.0,2.5
sub-10642,2.0,6.0,2.1666666666666665
sub-10644,2.4761904761904763,6.0,2.6363636363636362
sub-10647,1.8666666666666667,2.6666666666666665,1.9130434782608696
sub-10649,5.75,5.92,6.0
sub-10652,4.218181818181818,5.214285714285714,4.074074074074074
sub-10656,1.8181818181818181,3.018867924528302,2.6666666666666665
sub-10657,4.461538461538462,4.153846153846154,4.230769230769231
sub-10661,6.0,6.0,5.163636363636364
sub-10663,2.6363636363636362,4.25,3.259259259259259
sub-10668,3.1578947368421053,5.230769230769231,3.8095238095238093
sub-10673,4.235294117647059,4.452830188679245,3.69811320754717
sub-10674,6.0,6.0,6.0
sub-10677,3.52,4.862745098039215,3.2941176470588234
sub-10685,2.1818181818181817,6.0,3.0434782608695654
sub-10690,3.230769230769231,4.888888888888889,4.32
sub-10691,5.818181818181818,5.785714285714286,5.890909090909091
sub-10700,2.488888888888889,5.584905660377358,2.6666666666666665
sub-10701,2.6666666666666665,2.8444444444444446,2.9166666666666665
sub-10713,3.6153846153846154,3.74468085106383,2.1818181818181817
sub-10716,3.7037037037037037,4.142857142857143,4.0
sub-10718,6.0,5.857142857142857,6.0
sub-10720,3.0,5.071428571428571,4.218181818181818
sub-10723,3.7551020408163267,4.076923076923077,3.44
sub-10741,3.6923076923076925,4.96,2.9019607843137254
sub-10748,5.381818181818182,5.454545454545454,4.214285714285714
sub-10767,1.8181818181818181,6.0,3.642857142857143
sub-10770,5.236363636363636,4.666666666666667,4.153846153846154
sub-10777,1.76,6.0,2.6666666666666665
sub-10781,2.893617021276596,5.851851851851852,2.0
sub-10783,1.8604651162790697,3.923076923076923,2.0444444444444443
sub-10785,2.7450980392156863,3.111111111111111,2.7450980392156863
sub-10794,3.3962264150943398,4.290909090909091,2.792452830188679
sub-10800,5.851851851851852,4.962962962962963,5.551020408163265
sub-10801,4.96,5.857142857142857,5.745454545454545
sub-10802,3.0943396226415096,4.642857142857143,3.272727272727273
sub-10803,3.5555555555555554,3.6923076923076925,4.923076923076923
sub-10804,4.6923076923076925,5.615384615384615,5.037037037037037
sub-10806,1.8666666666666667,5.333333333333333,3.769230769230769
sub-10807,5.538461538461538,6.0,5.509433962264151
sub-10809,2.382978723404255,4.072727272727272,2.272727272727273
sub-10810,5.381818181818182,6.0,5.5
sub-10812,3.7777777777777777,5.714285714285714,4.30188679245283
sub-10817,2.8679245283018866,5.714285714285714,3.3454545454545452
sub-10827,3.5428571428571427,6.0606060606060606,2.9411764705882355
sub-10831,4.153846153846154,5.0181818181818185,4.654545454545454
sub-10834,6.0,5.857142857142857,5.857142857142857
sub-10836,4.0,4.3076923076923075,4.0
sub-10838,4.622222222222222,4.097560975609756,3.8222222222222224
sub-10843,2.923076923076923,3.1538461538461537,3.849056603773585
sub-10850,5.381818181818182,5.571428571428571,5.454545454545454
sub-10854,3.5714285714285716,5.357142857142857,2.8679245283018866
sub-10857,2.4313725490196076,6.0,2.6153846153846154
sub-10858,2.5217391304347827,5.851851851851852,5.642857142857143
sub-10860,5.745454545454545,6.0,5.391304347826087
sub-10862,4.08,6.188679245283019,4.96
sub-10863,5.481481481481482,6.148148148148148,6.0
sub-10866,3.8461538461538463,4.571428571428571,3.7818181818181817
sub-10875,5.963636363636364,6.0,5.857142857142857
sub-10881,2.4,3.0,2.56
sub-10886,4.64,5.5,4.166666666666667
sub-10887,4.461538461538462,4.830188679245283,5.283018867924528
sub-10896,3.36,5.703703703703703,3.5294117647058822
sub-10897,2.608695652173913,5.846153846153846,5.571428571428571
sub-10898,4.086956521739131,5.568627450980392,4.846153846153846
sub-10908,5.037037037037037,4.7407407407407405,4.857142857142857
sub-10918,1.8666666666666667,4.0,2.5
sub-10919,4.509090909090909,6.0,5.454545454545454
sub-10924,6.0,5.857142857142857,6.0
sub-10926,2.3636363636363638,5.185185185185185,2.3333333333333335
sub-10928,1.9047619047619047,4.571428571428571,1.8181818181818181
sub-10929,4.888888888888889,5.285714285714286,3.076923076923077
sub-10930,3.510204081632653,5.785714285714286,4.592592592592593
sub-10938,4.549019607843137,5.857142857142857,5.056603773584905
sub-10940,5.407407407407407,4.592592592592593,4.384615384615385
sub-10950,4.7407407407407405,5.185185185185185,4.642857142857143
sub-10951,2.204081632653061,6.0,1.9090909090909092
sub-10952,5.714285714285714,6.0,5.0
sub-10953,2.090909090909091,5.928571428571429,1.8181818181818181
sub-10954,3.75,3.225806451612903,4.27906976744186
sub-10956,2.297872340425532,6.0,3.4074074074074074
sub-10958,2.75,4.769230769230769,2.608695652173913
sub-10961,1.8181818181818181,3.7037037037037037,1.853658536585366
sub-10966,1.8181818181818181,4.1454545454545455,2.1333333333333333
sub-10969,4.153846153846154,4.0,3.36
sub-10974,4.521739130434782,4.769230769230769,4.0
sub-10977,2.72,5.142857142857143,1.9130434782608696
sub-10979,5.923076923076923,5.076923076923077,5.642857142857143
sub-10983,2.2857142857142856,3.5555555555555554,2.75
sub-10984,2.96,5.851851851851852,3.5
sub-10998,3.372549019607843,4.222222222222222,3.68
sub-11005,4.538461538461538,3.76,5.217391304347826
sub-11007,4.538461538461538,6.0,4.32
sub-11012,3.130434782608696,6.0,5.857142857142857
sub-11016,2.0444444444444443,5.454545454545454,3.2452830188679247
sub-11021,3.8333333333333335,6.0,5.811320754716981
sub-11030,3.4615384615384617,4.214285714285714,3.1538461538461537
sub-11031,3.547169811320755,4.148148148148148,2.204081632653061
sub-11039,3.1538461538461537,5.236363636363636,3.234042553191489
sub-11042,3.0588235294117645,3.36,4.148148148148148
sub-11053,2.823529411764706,6.0,4.6923076923076925
sub-11058,5.0,5.6,4.549019607843137
sub-11060,3.0833333333333335,5.925925925925926,3.9245283018867925
sub-11063,3.4166666666666665,4.962962962962963,3.727272727272727
sub-11064,4.76595744680851,5.787234042553192,3.148936170212766
sub-11065,3.923076923076923,5.381818181818182,4.150943396226415
sub-11068,3.5555555555555554,3.404255319148936,3.148936170212766
sub-11071,5.5,5.811320754716981,5.96078431372549
sub-11072,1.9090909090909092,6.0,3.3469387755102042
sub-11074,4.72,4.666666666666667,4.384615384615385
sub-11075,3.0833333333333335,3.52,3.3469387755102042
sub-11076,4.461538461538462,5.714285714285714,4.48
sub-11078,1.8181818181818181,6.0,1.8181818181818181
sub-11083,4.51063829787234,5.583333333333333,3.7142857142857144
sub-11116,2.0,6.0,1.9047619047619047
