sub,computer_defect,computer_recip,stranger_defect,stranger_recip,friend_defect,friend_recip
sub-10317,2.800000,4.000000,2.800000,5.200000,6.857143,4.666667
sub-10369,4.500000,4.285714,3.000000,4.800000,5.428571,4.666667
sub-10402,3.714286,3.166667,4.153846,4.857143,4.000000,5.384615
sub-10418,4.666667,3.538462,4.333333,3.384615,5.692308,6.142857
sub-10462,2.000000,3.000000,2.857143,3.500000,3.666667,5.200000
sub-10478,4.400000,4.833333,5.000000,4.307692,5.571429,6.307692
sub-10486,5.666667,6.000000,5.000000,6.571429,6.857143,4.666667
sub-10529,4.142857,4.727273,3.818182,4.857143,5.384615,4.461538
sub-10541,5.384615,5.142857,3.833333,4.500000,6.000000,4.166667
sub-10559,2.666667,2.250000,2.571429,3.750000,3.111111,2.285714
sub-10572,3.000000,3.090909,3.500000,3.454545,4.545455,3.166667
sub-10581,3.400000,2.250000,4.545455,3.000000,6.545455,5.571429
sub-10584,3.571429,3.800000,2.833333,5.090909,3.090909,2.250000
sub-10585,4.666667,4.363636,4.923077,4.769231,5.714286,5.833333
sub-10589,3.857143,4.461538,3.846154,4.615385,6.000000,5.000000
sub-10590,2.222222,3.500000,3.076923,4.333333,5.857143,6.166667
sub-10596,3.272727,5.250000,5.076923,6.142857,6.461538,5.142857
sub-10603,4.500000,4.500000,3.200000,3.000000,5.500000,5.000000
sub-10606,5.384615,6.166667,5.230769,6.000000,6.307692,5.571429
sub-10608,3.000000,2.000000,2.400000,2.500000,6.857143,4.666667
sub-10617,5.200000,3.600000,4.666667,4.571429,5.428571,3.666667
sub-10636,5.692308,5.666667,4.923077,6.500000,6.666667,5.846154
sub-10638,5.714286,6.166667,5.076923,6.428571,6.461538,5.428571
sub-10640,3.000000,5.500000,2.222222,3.555556,5.000000,4.909091
sub-10641,3.600000,4.571429,2.500000,3.600000,6.285714,6.333333
sub-10642,2.285714,2.500000,2.666667,2.600000,5.857143,6.000000
sub-10644,2.857143,4.000000,3.142857,3.777778,5.692308,6.142857
sub-10647,2.250000,2.500000,2.444444,2.500000,3.400000,2.800000
sub-10649,5.571429,5.777778,5.384615,6.428571,6.333333,5.333333
sub-10652,4.000000,4.714286,4.000000,4.615385,5.142857,5.076923
sub-10656,2.500000,2.571429,3.090909,2.909091,3.090909,2.923077
sub-10661,5.285714,6.923077,5.428571,5.333333,5.692308,6.142857
sub-10663,2.600000,3.750000,3.000000,3.571429,3.400000,4.615385
sub-10668,2.666667,6.000000,4.000000,5.200000,5.333333,4.666667
sub-10673,3.833333,5.400000,4.400000,3.714286,5.818182,3.538462
sub-10674,5.285714,6.923077,6.857143,5.384615,5.692308,6.142857
sub-10677,3.636364,4.600000,2.833333,4.800000,5.090909,4.615385
sub-10685,2.750000,3.428571,3.333333,4.750000,6.181818,6.153846
sub-10690,3.200000,4.000000,4.800000,4.333333,5.000000,5.333333
sub-10691,5.571429,6.500000,6.857143,5.333333,5.692308,5.714286
sub-10700,4.222222,2.285714,2.500000,4.000000,5.666667,6.500000
sub-10701,4.500000,2.750000,3.555556,3.272727,3.000000,4.000000
sub-10713,2.769231,5.090909,2.666667,3.142857,4.666667,4.200000
sub-10716,2.857143,5.272727,3.692308,4.428571,4.923077,3.142857
sub-10718,6.615385,5.714286,5.857143,6.461538,6.285714,5.230769
sub-10720,3.230769,3.400000,4.000000,4.714286,5.076923,4.857143
sub-10723,4.500000,3.333333,4.000000,3.454545,4.363636,4.666667
sub-10748,4.307692,6.461538,4.285714,4.307692,5.538462,5.384615
sub-10767,2.250000,2.857143,3.538462,3.714286,5.857143,6.307692
sub-10770,6.000000,4.333333,4.000000,4.833333,5.833333,3.692308
sub-10781,3.428571,3.272727,2.444444,2.500000,6.571429,4.833333
sub-10783,2.888889,2.000000,2.750000,2.444444,5.076923,3.090909
sub-10785,2.833333,3.090909,2.545455,3.636364,3.666667,2.461538
sub-10794,3.230769,3.333333,2.769231,3.090909,4.307692,4.153846
sub-10800,5.571429,6.000000,4.600000,6.307692,5.000000,5.076923
sub-10801,5.666667,6.000000,5.833333,5.714286,5.857143,6.153846
sub-10802,3.076923,3.636364,3.428571,3.166667,4.923077,4.428571
sub-10803,3.333333,4.333333,5.600000,4.666667,4.666667,2.400000
sub-10804,5.272727,5.166667,6.000000,4.285714,6.615385,4.333333
sub-10806,2.222222,2.857143,4.000000,4.333333,4.500000,6.500000
sub-10809,2.750000,3.200000,2.800000,3.333333,4.000000,4.285714
sub-10810,5.846154,5.230769,5.714286,5.538462,5.538462,6.285714
sub-10812,3.666667,4.153846,5.230769,4.000000,6.428571,5.076923
sub-10817,2.615385,3.636364,2.615385,3.846154,5.142857,6.153846
sub-10831,5.454545,3.666667,4.769231,4.461538,5.230769,4.769231
sub-10834,5.846154,6.000000,6.142857,5.692308,5.714286,5.846154
sub-10838,5.111111,6.222222,4.363636,5.142857,4.666667,4.250000
sub-10843,3.166667,3.272727,5.000000,3.142857,3.076923,3.800000
sub-10850,5.285714,5.833333,5.000000,6.333333,5.076923,5.857143
sub-10854,3.384615,3.857143,3.166667,2.833333,5.142857,5.384615
sub-10858,2.800000,3.142857,5.571429,5.538462,5.571429,6.500000
sub-10860,5.285714,6.333333,5.333333,6.800000,6.428571,5.692308
sub-10862,4.000000,4.909091,5.000000,5.500000,6.769231,5.666667
sub-10863,5.714286,5.454545,6.615385,5.285714,6.153846,6.000000
sub-10866,4.000000,4.600000,4.500000,3.285714,4.461538,4.428571
sub-10875,6.714286,5.666667,5.538462,6.000000,6.153846,6.000000
sub-10940,5.818182,5.285714,4.666667,4.545455,5.285714,4.181818
sub-10896,3.636364,3.818182,4.000000,3.666667,5.666667,5.857143
sub-10908,6.000000,4.769231,4.769231,4.714286,4.857143,4.833333
sub-10898,4.166667,5.142857,4.153846,5.818182,4.909091,6.615385
sub-10918,2.500000,2.500000,2.400000,3.111111,3.285714,4.666667
sub-10930,3.636364,3.800000,4.500000,5.076923,6.461538,5.428571
sub-10977,3.500000,2.000000,3.000000,2.000000,5.333333,5.142857
sub-10928,2.500000,2.666667,2.500000,2.666667,3.428571,6.000000
sub-10924,5.857143,6.000000,6.571429,5.692308,5.714286,5.846154
sub-10952,6.333333,4.857143,4.666667,4.857143,7.333333,4.571429
sub-10938,4.200000,5.833333,5.666667,4.923077,6.285714,5.230769
sub-10897,4.666667,2.800000,5.428571,5.333333,6.571429,4.400000
sub-10950,4.909091,4.714286,5.384615,3.714286,4.500000,6.307692
sub-10969,4.181818,5.000000,4.181818,3.400000,3.636364,4.769231
sub-10984,4.200000,2.727273,3.777778,4.000000,5.714286,6.166667
sub-11005,4.800000,5.230769,7.000000,4.666667,4.153846,3.555556
sub-10953,2.250000,3.428571,2.571429,2.250000,6.857143,4.769231
sub-10956,3.555556,2.000000,3.538462,3.166667,6.307692,5.857143
sub-10929,3.666667,6.000000,3.333333,3.600000,4.333333,6.571429
sub-11031,4.307692,3.272727,2.727273,2.444444,3.833333,4.428571
sub-10919,5.538462,3.692308,5.076923,6.307692,5.000000,7.230769
sub-10961,2.500000,2.285714,2.285714,2.571429,4.166667,3.285714
sub-10966,2.500000,2.571429,2.571429,2.600000,4.333333,3.857143
sub-10979,5.666667,7.636364,6.428571,5.076923,5.857143,4.666667
sub-10998,4.200000,3.500000,4.200000,4.000000,3.846154,5.000000
sub-11007,4.727273,5.333333,4.400000,5.636364,5.692308,6.428571
