sub	mean	max	meanVS
sub-10317_task-trust_run-1_echo-1_desc-preproc_bold.nii.gz	11.258658	77.886978	24.532075
sub-10317_task-trust_run-1_echo-2_desc-preproc_bold.nii.gz	8.725034	75.961182	23.084006
sub-10317_task-trust_run-1_echo-3_desc-preproc_bold.nii.gz	6.819075	70.63884	19.193932
sub-10317_task-trust_run-1_echo-4_desc-preproc_bold.nii.gz	5.399022	67.742401	16.053364
sub-10317_task-trust_run-1_space-MNI152NLin6Asym_desc-preproc_bold.nii.gz	25.148482	122.441269	  
sub-10369_task-trust_run-1_echo-1_desc-preproc_bold.nii.gz	11.369668	100.492935	23.771005
sub-10369_task-trust_run-1_echo-2_desc-preproc_bold.nii.gz	8.332979	89.820915	22.179876
sub-10369_task-trust_run-1_echo-3_desc-preproc_bold.nii.gz	6.44321	81.275719	18.65683
sub-10369_task-trust_run-1_echo-4_desc-preproc_bold.nii.gz	5.12366	75.118393	14.907289
sub-10369_task-trust_run-1_space-MNI152NLin6Asym_desc-preproc_bold.nii.gz	25.849663	145.897369	  
sub-10402_task-trust_run-1_echo-1_desc-preproc_bold.nii.gz	11.76635	76.212097	37.823558
sub-10402_task-trust_run-1_echo-2_desc-preproc_bold.nii.gz	9.194748	74.264999	48.344926
sub-10402_task-trust_run-1_echo-3_desc-preproc_bold.nii.gz	7.345444	71.803177	51.272351
sub-10402_task-trust_run-1_echo-4_desc-preproc_bold.nii.gz	5.943901	76.749718	51.557619
sub-10402_task-trust_run-1_space-MNI152NLin6Asym_desc-preproc_bold.nii.gz	23.849687	124.817719	  
sub-10402_task-trust_run-2_echo-1_desc-preproc_bold.nii.gz	11.822758	84.494949	37.678451
sub-10402_task-trust_run-2_echo-2_desc-preproc_bold.nii.gz	9.389074	69.563332	47.950419
sub-10402_task-trust_run-2_echo-3_desc-preproc_bold.nii.gz	7.551203	67.118507	50.232754
sub-10402_task-trust_run-2_echo-4_desc-preproc_bold.nii.gz	6.131985	70.437103	50.935402
sub-10402_task-trust_run-2_space-MNI152NLin6Asym_desc-preproc_bold.nii.gz	23.221309	112.253334	  
sub-10418_task-trust_run-1_echo-1_desc-preproc_bold.nii.gz	12.06633	92.430328	23.598521
sub-10418_task-trust_run-1_echo-2_desc-preproc_bold.nii.gz	9.920855	90.742699	23.192962
sub-10418_task-trust_run-1_echo-3_desc-preproc_bold.nii.gz	8.094024	93.184029	19.718571
sub-10418_task-trust_run-1_echo-4_desc-preproc_bold.nii.gz	6.686117	85.366737	16.178561
sub-10418_task-trust_run-1_space-MNI152NLin6Asym_desc-preproc_bold.nii.gz	29.139206	166.701569	  
sub-10418_task-trust_run-2_echo-1_desc-preproc_bold.nii.gz	12.62842	88.967705	23.134962
sub-10418_task-trust_run-2_echo-2_desc-preproc_bold.nii.gz	10.475866	90.12252	22.691257
sub-10418_task-trust_run-2_echo-3_desc-preproc_bold.nii.gz	8.654261	89.694618	19.556646
sub-10418_task-trust_run-2_echo-4_desc-preproc_bold.nii.gz	7.180569	87.784424	16.033766
sub-10418_task-trust_run-2_space-MNI152NLin6Asym_desc-preproc_bold.nii.gz	29.263319	153.903305	  
sub-10462_task-trust_run-1_echo-1_desc-preproc_bold.nii.gz	13.806697	88.228882	22.12354
sub-10462_task-trust_run-1_echo-2_desc-preproc_bold.nii.gz	10.86761	91.136887	20.600141
sub-10462_task-trust_run-1_echo-3_desc-preproc_bold.nii.gz	8.539967	91.25946	18.397827
sub-10462_task-trust_run-1_echo-4_desc-preproc_bold.nii.gz	6.755697	92.533203	16.531332
sub-10462_task-trust_run-1_space-MNI152NLin6Asym_desc-preproc_bold.nii.gz	26.345762	153.041061	  
sub-10478_task-trust_run-1_echo-1_desc-preproc_bold.nii.gz	13.475276	104.796349	25.412808
sub-10478_task-trust_run-1_echo-2_desc-preproc_bold.nii.gz	10.455564	102.939201	24.007989
sub-10478_task-trust_run-1_echo-3_desc-preproc_bold.nii.gz	8.256904	82.969002	19.91571
sub-10478_task-trust_run-1_echo-4_desc-preproc_bold.nii.gz	6.558049	82.242294	14.67589
sub-10478_task-trust_run-1_space-MNI152NLin6Asym_desc-preproc_bold.nii.gz	29.480118	149.149185	  
sub-10478_task-trust_run-2_echo-1_desc-preproc_bold.nii.gz	11.223882	92.863121	25.512801
sub-10478_task-trust_run-2_echo-2_desc-preproc_bold.nii.gz	8.343101	84.990089	23.805917
sub-10478_task-trust_run-2_echo-3_desc-preproc_bold.nii.gz	6.481385	83.500008	19.616636
sub-10478_task-trust_run-2_echo-4_desc-preproc_bold.nii.gz	5.177253	78.574364	14.720836
sub-10478_task-trust_run-2_space-MNI152NLin6Asym_desc-preproc_bold.nii.gz	28.028977	152.828171	  
sub-10486_task-trust_run-1_echo-1_desc-preproc_bold.nii.gz	9.32525	86.971886	28.258204
sub-10486_task-trust_run-1_echo-2_desc-preproc_bold.nii.gz	6.963291	78.110641	21.481747
sub-10486_task-trust_run-1_echo-3_desc-preproc_bold.nii.gz	5.381527	77.072609	15.332091
sub-10486_task-trust_run-1_echo-4_desc-preproc_bold.nii.gz	4.298011	75.636559	10.852334
sub-10486_task-trust_run-1_space-MNI152NLin6Asym_desc-preproc_bold.nii.gz	24.764349	124.133575	  
sub-10486_task-trust_run-2_echo-1_desc-preproc_bold.nii.gz	9.919251	83.294464	26.863295
sub-10486_task-trust_run-2_echo-2_desc-preproc_bold.nii.gz	7.474696	77.405205	21.26621
sub-10486_task-trust_run-2_echo-3_desc-preproc_bold.nii.gz	5.78093	76.641701	15.091339
sub-10486_task-trust_run-2_echo-4_desc-preproc_bold.nii.gz	4.572424	75.587357	10.787508
sub-10486_task-trust_run-2_space-MNI152NLin6Asym_desc-preproc_bold.nii.gz	26.604097	144.298111	  
sub-10529_task-trust_run-1_echo-1_desc-preproc_bold.nii.gz	10.268241	94.62944	22.529709
sub-10529_task-trust_run-1_echo-2_desc-preproc_bold.nii.gz	7.919542	78.923042	19.032304
sub-10529_task-trust_run-1_echo-3_desc-preproc_bold.nii.gz	6.235291	81.394241	14.306365
sub-10529_task-trust_run-1_echo-4_desc-preproc_bold.nii.gz	5.008898	69.391762	10.49585
sub-10529_task-trust_run-1_space-MNI152NLin6Asym_desc-preproc_bold.nii.gz	26.236024	127.827148	  
sub-10529_task-trust_run-2_echo-1_desc-preproc_bold.nii.gz	10.046785	82.832741	22.14995
sub-10529_task-trust_run-2_echo-2_desc-preproc_bold.nii.gz	7.543108	78.117691	18.812425
sub-10529_task-trust_run-2_echo-3_desc-preproc_bold.nii.gz	5.897738	73.222389	14.002931
sub-10529_task-trust_run-2_echo-4_desc-preproc_bold.nii.gz	4.733994	70.24675	10.191854
sub-10529_task-trust_run-2_space-MNI152NLin6Asym_desc-preproc_bold.nii.gz	26.06625	122.491463	  
sub-10541_task-trust_run-1_echo-1_desc-preproc_bold.nii.gz	11.37002	78.248825	29.193127
sub-10541_task-trust_run-1_echo-2_desc-preproc_bold.nii.gz	9.015337	72.862679	31.036207
sub-10541_task-trust_run-1_echo-3_desc-preproc_bold.nii.gz	7.227746	83.265923	29.147459
sub-10541_task-trust_run-1_echo-4_desc-preproc_bold.nii.gz	5.843715	81.565132	28.730666
sub-10541_task-trust_run-1_space-MNI152NLin6Asym_desc-preproc_bold.nii.gz	22.901898	126.264809	  
sub-10541_task-trust_run-2_echo-1_desc-preproc_bold.nii.gz	11.442413	69.419289	29.891395
sub-10541_task-trust_run-2_echo-2_desc-preproc_bold.nii.gz	9.098213	74.588554	32.530303
sub-10541_task-trust_run-2_echo-3_desc-preproc_bold.nii.gz	7.262694	75.2239	31.059766
sub-10541_task-trust_run-2_echo-4_desc-preproc_bold.nii.gz	5.857505	73.139252	30.690785
sub-10541_task-trust_run-2_space-MNI152NLin6Asym_desc-preproc_bold.nii.gz	22.530842	128.328842	  
sub-10559_task-trust_run-1_echo-1_desc-preproc_bold.nii.gz	10.073207	69.155251	22.127132
sub-10559_task-trust_run-1_echo-2_desc-preproc_bold.nii.gz	7.458202	53.900452	19.426312
sub-10559_task-trust_run-1_echo-3_desc-preproc_bold.nii.gz	5.945384	56.445286	15.346303
sub-10559_task-trust_run-1_echo-4_desc-preproc_bold.nii.gz	4.765231	50.462265	11.952804
sub-10559_task-trust_run-1_space-MNI152NLin6Asym_desc-preproc_bold.nii.gz	21.63147	91.581779	  
sub-10559_task-trust_run-2_echo-1_desc-preproc_bold.nii.gz	8.391199	65.152939	21.346262
sub-10559_task-trust_run-2_echo-2_desc-preproc_bold.nii.gz	6.026872	48.701675	18.157597
sub-10559_task-trust_run-2_echo-3_desc-preproc_bold.nii.gz	4.709522	52.885147	13.847571
sub-10559_task-trust_run-2_echo-4_desc-preproc_bold.nii.gz	3.832434	47.127209	10.9707
sub-10559_task-trust_run-2_space-MNI152NLin6Asym_desc-preproc_bold.nii.gz	18.645756	81.058266	  
sub-10572_task-trust_run-1_echo-1_desc-preproc_bold.nii.gz	9.726854	89.791801	31.70206
sub-10572_task-trust_run-1_echo-2_desc-preproc_bold.nii.gz	7.950723	78.964195	29.912351
sub-10572_task-trust_run-1_echo-3_desc-preproc_bold.nii.gz	6.459068	77.432747	25.961934
sub-10572_task-trust_run-1_echo-4_desc-preproc_bold.nii.gz	5.286374	76.390472	22.816894
sub-10572_task-trust_run-1_space-MNI152NLin6Asym_desc-preproc_bold.nii.gz	23.774447	127.13974	  
sub-10572_task-trust_run-2_echo-1_desc-preproc_bold.nii.gz	8.115054	75.551788	30.736219
sub-10572_task-trust_run-2_echo-2_desc-preproc_bold.nii.gz	6.277468	74.74382	27.877083
sub-10572_task-trust_run-2_echo-3_desc-preproc_bold.nii.gz	4.989151	74.970642	23.681057
sub-10572_task-trust_run-2_echo-4_desc-preproc_bold.nii.gz	4.114053	71.502571	20.843938
sub-10572_task-trust_run-2_space-MNI152NLin6Asym_desc-preproc_bold.nii.gz	21.617709	124.530632	  
sub-10581_task-trust_run-1_echo-1_desc-preproc_bold.nii.gz	8.739329	71.400452	26.39308
