sub	mean	max
sub-10317_task-trust_run-1_echo-1_desc-preproc_bold.nii.gz	11.258658	77.886978
sub-10317_task-trust_run-1_echo-2_desc-preproc_bold.nii.gz	8.725034	75.961182
sub-10317_task-trust_run-1_echo-3_desc-preproc_bold.nii.gz	6.819075	70.63884
sub-10317_task-trust_run-1_echo-4_desc-preproc_bold.nii.gz	5.399022	67.742401
sub-10317_task-trust_run-1_space-MNI152NLin6Asym_desc-preproc_bold.nii.gz	25.148482	122.441269
sub-10369_task-trust_run-1_echo-1_desc-preproc_bold.nii.gz	11.369668	100.492935
sub-10369_task-trust_run-1_echo-2_desc-preproc_bold.nii.gz	8.332979	89.820915
sub-10369_task-trust_run-1_echo-3_desc-preproc_bold.nii.gz	6.44321	81.275719
sub-10369_task-trust_run-1_echo-4_desc-preproc_bold.nii.gz	5.12366	75.118393
sub-10369_task-trust_run-1_space-MNI152NLin6Asym_desc-preproc_bold.nii.gz	25.849663	145.897369
sub-10402_task-trust_run-1_echo-1_desc-preproc_bold.nii.gz	11.76635	76.212097
sub-10402_task-trust_run-1_echo-2_desc-preproc_bold.nii.gz	9.194748	74.264999
sub-10402_task-trust_run-1_echo-3_desc-preproc_bold.nii.gz	7.345444	71.803177
sub-10402_task-trust_run-1_echo-4_desc-preproc_bold.nii.gz	5.943901	76.749718
sub-10402_task-trust_run-1_space-MNI152NLin6Asym_desc-preproc_bold.nii.gz	23.849687	124.817719
sub-10402_task-trust_run-2_echo-1_desc-preproc_bold.nii.gz	11.822758	84.494949
sub-10402_task-trust_run-2_echo-2_desc-preproc_bold.nii.gz	9.389074	69.563332
sub-10402_task-trust_run-2_echo-3_desc-preproc_bold.nii.gz	7.551203	67.118507
sub-10402_task-trust_run-2_echo-4_desc-preproc_bold.nii.gz	6.131985	70.437103
sub-10402_task-trust_run-2_space-MNI152NLin6Asym_desc-preproc_bold.nii.gz	23.221309	112.253334
sub-10418_task-trust_run-1_echo-1_desc-preproc_bold.nii.gz	12.06633	92.430328
sub-10418_task-trust_run-1_echo-2_desc-preproc_bold.nii.gz	9.920855	90.742699
sub-10418_task-trust_run-1_echo-3_desc-preproc_bold.nii.gz	8.094024	93.184029
sub-10418_task-trust_run-1_echo-4_desc-preproc_bold.nii.gz	6.686117	85.366737
sub-10418_task-trust_run-1_space-MNI152NLin6Asym_desc-preproc_bold.nii.gz	29.139206	166.701569
