sub	 task	 echo	 run	 mean_stan	 vsmean_stan	 mean_nat	 vsmean_nat	 max
10317	 trust	 1	 1	 35.453943 	 29.641423 	 27.881754 	 20.480721 	 77.716164
10317	 trust	 2	 1	 35.453943 	 29.641423 	 21.214873 	 14.992774 	 72.073769
10317	 trust	 3	 1	 35.453943 	 29.641423 	 15.617398 	 9.251735 	 70.786301
10317	 trust	 4	 1	 35.453943 	 29.641423 	 11.474908 	 5.304078 	 66.821213
10317	 trust	 1	 2	 NA	 NA	 NA	 NA	 NA
10317	 trust	 2	 2	 NA	 NA	 NA	 NA	 NA
10317	 trust	 3	 2	 NA	 NA	 NA	 NA	 NA
10317	 trust	 4	 2	 NA	 NA	 NA	 NA	 NA
10317	 ugr	 1	 1	 39.569355 	 32.007659 	 30.486130 	 22.043955 	 94.865707
10317	 ugr	 2	 1	 39.569355 	 32.007659 	 23.463065 	 17.735644 	 84.898895
10317	 ugr	 3	 1	 39.569355 	 32.007659 	 17.331750 	 10.638979 	 80.205559
10317	 ugr	 4	 1	 39.569355 	 32.007659 	 12.773473 	 5.279629 	 75.551910
10317	 ugr	 1	 2	 40.448369 	 34.082923 	 30.550286 	 21.780093 	 84.940948
10317	 ugr	 2	 2	 40.448369 	 34.082923 	 23.569563 	 17.585749 	 85.001457
10317	 ugr	 3	 2	 40.448369 	 34.082923 	 17.475174 	 10.399756 	 76.146988
10317	 ugr	 4	 2	 40.448369 	 34.082923 	 12.919874 	 5.215721 	 83.901588
10317	 sharedreward	 1	 1	 34.588628 	 31.280175 	 27.825646 	 21.629110 	 73.542206
10317	 sharedreward	 2	 1	 34.588628 	 31.280175 	 21.166176 	 15.562223 	 76.843719
10317	 sharedreward	 3	 1	 34.588628 	 31.280175 	 15.503709 	 9.008009 	 69.324135
10317	 sharedreward	 4	 1	 34.588628 	 31.280175 	 11.335000 	 4.982753 	 62.288132
10317	 sharedreward	 1	 2	 35.059688 	 29.706852 	 27.866059 	 21.112783 	 88.085075
10317	 sharedreward	 2	 2	 35.059688 	 29.706852 	 21.210208 	 16.406848 	 85.225708
10317	 sharedreward	 3	 2	 35.059688 	 29.706852 	 15.527348 	 9.519808 	 71.837555
10317	 sharedreward	 4	 2	 35.059688 	 29.706852 	 11.348096 	 5.264788 	 72.509651
10317	 doors	 1	 1	 39.187892 	 30.608564 	 29.900066 	 21.897448 	 88.722122
