sub	 task	 echo	 run	 mean_stan	 vsmean_stan	 mean_nat	 vsmean_nat	 max
10317	 doors	 2	 1	 39.187892 	 30.608564 	 22.990337 	 17.872406 	 81.905457
10317	 doors	 3	 1	 39.187892 	 30.608564 	 16.919113 	 10.779028 	 78.018280
10317	 doors	 4	 1	 39.187892 	 30.608564 	 12.422289 	 5.383997 	 71.501083
10317	 doors	 1	 2	 NA	 NA	 NA	 NA	 NA
10317	 doors	 2	 2	 NA	 NA	 NA	 NA	 NA
10317	 doors	 3	 2	 NA	 NA	 NA	 NA	 NA
10317	 doors	 4	 2	 NA	 NA	 NA	 NA	 NA
10317	 socialdoors	 1	 1	 38.080237 	 32.414862 	 29.246291 	 20.981874 	 87.338303
10317	 socialdoors	 2	 1	 38.080237 	 32.414862 	 22.505224 	 16.823764 	 76.958221
10317	 socialdoors	 3	 1	 38.080237 	 32.414862 	 16.645534 	 10.133690 	 70.506462
10317	 socialdoors	 4	 1	 38.080237 	 32.414862 	 12.282295 	 5.023675 	 72.509048
10317	 socialdoors	 1	 2	 NA	 NA	 NA	 NA	 NA
10317	 socialdoors	 2	 2	 NA	 NA	 NA	 NA	 NA
10317	 socialdoors	 3	 2	 NA	 NA	 NA	 NA	 NA
10317	 socialdoors	 4	 2	 NA	 NA	 NA	 NA	 NA
10369	 trust	 1	 1	 NA	 NA	 NA	 NA	 NA
10369	 trust	 2	 1	 NA	 NA	 NA	 NA	 NA
10369	 trust	 3	 1	 NA	 NA	 NA	 NA	 NA
10369	 trust	 4	 1	 NA	 NA	 NA	 NA	 NA
10369	 trust	 1	 2	 NA	 NA	 NA	 NA	 NA
10369	 trust	 2	 2	 NA	 NA	 NA	 NA	 NA
10369	 trust	 3	 2	 NA	 NA	 NA	 NA	 NA
10369	 trust	 4	 2	 NA	 NA	 NA	 NA	 NA
10369	 ugr	 1	 1	 NA	 NA	 NA	 NA	 NA
10369	 ugr	 2	 1	 NA	 NA	 NA	 NA	 NA
10369	 ugr	 3	 1	 NA	 NA	 NA	 NA	 NA
10369	 ugr	 4	 1	 NA	 NA	 NA	 NA	 NA
10369	 ugr	 1	 2	 NA	 NA	 NA	 NA	 NA
10369	 ugr	 2	 2	 NA	 NA	 NA	 NA	 NA
10369	 ugr	 3	 2	 NA	 NA	 NA	 NA	 NA
10369	 ugr	 4	 2	 NA	 NA	 NA	 NA	 NA
10369	 sharedreward	 1	 1	 NA	 NA	 NA	 NA	 NA
10369	 sharedreward	 2	 1	 NA	 NA	 NA	 NA	 NA
10369	 sharedreward	 3	 1	 NA	 NA	 NA	 NA	 NA
10369	 sharedreward	 4	 1	 NA	 NA	 NA	 NA	 NA
10369	 sharedreward	 1	 2	 NA	 NA	 NA	 NA	 NA
10369	 sharedreward	 2	 2	 NA	 NA	 NA	 NA	 NA
10369	 sharedreward	 3	 2	 NA	 NA	 NA	 NA	 NA
10369	 sharedreward	 4	 2	 NA	 NA	 NA	 NA	 NA
10369	 doors	 1	 1	 NA	 NA	 NA	 NA	 NA
10369	 doors	 2	 1	 NA	 NA	 NA	 NA	 NA
10369	 doors	 3	 1	 NA	 NA	 NA	 NA	 NA
10369	 doors	 4	 1	 NA	 NA	 NA	 NA	 NA
10369	 doors	 1	 2	 NA	 NA	 NA	 NA	 NA
10369	 doors	 2	 2	 NA	 NA	 NA	 NA	 NA
10369	 doors	 3	 2	 NA	 NA	 NA	 NA	 NA
10369	 doors	 4	 2	 NA	 NA	 NA	 NA	 NA
10369	 socialdoors	 1	 1	 NA	 NA	 NA	 NA	 NA
10369	 socialdoors	 2	 1	 NA	 NA	 NA	 NA	 NA
10369	 socialdoors	 3	 1	 NA	 NA	 NA	 NA	 NA
10369	 socialdoors	 4	 1	 NA	 NA	 NA	 NA	 NA
10369	 socialdoors	 1	 2	 NA	 NA	 NA	 NA	 NA
10369	 socialdoors	 2	 2	 NA	 NA	 NA	 NA	 NA
10369	 socialdoors	 3	 2	 NA	 NA	 NA	 NA	 NA
10369	 socialdoors	 4	 2	 NA	 NA	 NA	 NA	 NA
10402	 trust	 1	 1	 33.896602 	 27.656064 	 26.488803 	 21.638430 	 76.913544
10402	 trust	 2	 1	 33.896602 	 27.656064 	 20.897647 	 16.645638 	 73.911652
10402	 trust	 3	 1	 33.896602 	 27.656064 	 15.866076 	 11.604752 	 71.390221
10402	 trust	 4	 1	 33.896602 	 27.656064 	 12.110420 	 7.356883 	 76.747765
10402	 trust	 1	 2	 33.419104 	 28.444008 	 26.410159 	 21.539634 	 84.345100
10402	 trust	 2	 2	 33.419104 	 28.444008 	 20.871150 	 16.423979 	 69.510597
10402	 trust	 3	 2	 33.419104 	 28.444008 	 15.866893 	 11.466528 	 67.276993
10402	 trust	 4	 2	 33.419104 	 28.444008 	 12.111545 	 7.292605 	 70.531876
10402	 ugr	 1	 1	 32.463479 	 31.220925 	 26.966470 	 22.118087 	 74.250702
10402	 ugr	 2	 1	 32.463479 	 31.220925 	 20.611523 	 16.926344 	 67.426712
10402	 ugr	 3	 1	 32.463479 	 31.220925 	 15.548895 	 12.206776 	 70.947006
10402	 ugr	 4	 1	 32.463479 	 31.220925 	 11.764181 	 9.279720 	 70.263969
10402	 ugr	 1	 2	 31.525680 	 28.247958 	 25.116953 	 22.847751 	 65.933578
10402	 ugr	 2	 2	 31.525680 	 28.247958 	 19.907055 	 18.959772 	 63.716122
10402	 ugr	 3	 2	 31.525680 	 28.247958 	 15.260220 	 14.962036 	 59.726402
10402	 ugr	 4	 2	 31.525680 	 28.247958 	 11.665202 	 12.723306 	 61.049889
10402	 sharedreward	 1	 1	 38.303651 	 29.239112 	 27.414510 	 20.574172 	 85.762375
10402	 sharedreward	 2	 1	 38.303651 	 29.239112 	 22.239624 	 16.339625 	 71.776817
10402	 sharedreward	 3	 1	 38.303651 	 29.239112 	 17.113713 	 12.071348 	 70.182091
10402	 sharedreward	 4	 1	 38.303651 	 29.239112 	 13.123906 	 7.694809 	 73.591042
10402	 sharedreward	 1	 2	 34.363691 	 30.770172 	 26.158911 	 20.769512 	 80.584686
10402	 sharedreward	 2	 2	 34.363691 	 30.770172 	 20.868297 	 16.395908 	 68.902710
10402	 sharedreward	 3	 2	 34.363691 	 30.770172 	 16.019477 	 12.043944 	 72.940666
10402	 sharedreward	 4	 2	 34.363691 	 30.770172 	 12.288586 	 7.450582 	 75.809517
10402	 doors	 1	 1	 34.936362 	 28.164590 	 26.949809 	 21.766751 	 81.045685
10402	 doors	 2	 1	 34.936362 	 28.164590 	 21.166383 	 18.213334 	 68.004257
10402	 doors	 3	 1	 34.936362 	 28.164590 	 16.122082 	 14.096267 	 68.406662
10402	 doors	 4	 1	 34.936362 	 28.164590 	 12.278374 	 10.719461 	 70.378601
10402	 doors	 1	 2	 NA	 NA	 NA	 NA	 NA
10402	 doors	 2	 2	 NA	 NA	 NA	 NA	 NA
10402	 doors	 3	 2	 NA	 NA	 NA	 NA	 NA
10402	 doors	 4	 2	 NA	 NA	 NA	 NA	 NA
10402	 socialdoors	 1	 1	 37.714389 	 32.483374 	 28.403909 	 22.227317 	 80.344376
10402	 socialdoors	 2	 1	 37.714389 	 32.483374 	 22.339768 	 19.566314 	 71.836227
10402	 socialdoors	 3	 1	 37.714389 	 32.483374 	 16.962722 	 14.841655 	 68.851799
10402	 socialdoors	 4	 1	 37.714389 	 32.483374 	 12.938195 	 12.023374 	 71.743233
10402	 socialdoors	 1	 2	 NA	 NA	 NA	 NA	 NA
10402	 socialdoors	 2	 2	 NA	 NA	 NA	 NA	 NA
10402	 socialdoors	 3	 2	 NA	 NA	 NA	 NA	 NA
10402	 socialdoors	 4	 2	 NA	 NA	 NA	 NA	 NA
10418	 trust	 1	 1	 40.751958 	 29.613504 	 29.551045 	 20.822547 	 92.271324
10418	 trust	 2	 1	 40.751958 	 29.613504 	 24.045189 	 16.566417 	 90.631630
10418	 trust	 3	 1	 40.751958 	 29.613504 	 18.583095 	 7.775221 	 93.726013
10418	 trust	 4	 1	 40.751958 	 29.613504 	 14.337355 	 3.796811 	 85.954384
10418	 trust	 1	 2	 40.694392 	 29.823872 	 29.555868 	 20.923932 	 89.356056
10418	 trust	 2	 2	 40.694392 	 29.823872 	 24.046078 	 16.460452 	 89.653404
10418	 trust	 3	 2	 40.694392 	 29.823872 	 18.619004 	 8.228031 	 90.006775
10418	 trust	 4	 2	 40.694392 	 29.823872 	 14.428015 	 4.365610 	 88.914558
10418	 ugr	 1	 1	 37.926338 	 28.154979 	 29.558321 	 22.303712 	 93.152359
10418	 ugr	 2	 1	 37.926338 	 28.154979 	 23.330361 	 15.747819 	 95.871994
10418	 ugr	 3	 1	 37.926338 	 28.154979 	 17.711758 	 7.739384 	 90.380173
10418	 ugr	 4	 1	 37.926338 	 28.154979 	 13.534437 	 4.189343 	 90.785408
10418	 ugr	 1	 2	 39.287805 	 28.686213 	 29.228955 	 21.044290 	 91.388641
10418	 ugr	 2	 2	 39.287805 	 28.686213 	 23.545625 	 16.009875 	 94.106628
10418	 ugr	 3	 2	 39.287805 	 28.686213 	 18.150607 	 8.106223 	 92.788826
10418	 ugr	 4	 2	 39.287805 	 28.686213 	 14.019377 	 4.364444 	 90.385315
10418	 sharedreward	 1	 1	 43.558416 	 30.938186 	 30.499093 	 21.157491 	 98.728348
10418	 sharedreward	 2	 1	 43.558416 	 30.938186 	 25.091991 	 16.818061 	 91.223999
10418	 sharedreward	 3	 1	 43.558416 	 30.938186 	 19.551222 	 8.286986 	 96.370949
10418	 sharedreward	 4	 1	 43.558416 	 30.938186 	 15.258764 	 4.352169 	 91.123817
10418	 sharedreward	 1	 2	 39.443349 	 27.786935 	 29.200514 	 20.461330 	 94.977966
10418	 sharedreward	 2	 2	 39.443349 	 27.786935 	 23.552249 	 15.498236 	 92.627991
10418	 sharedreward	 3	 2	 39.443349 	 27.786935 	 18.085309 	 7.436744 	 95.761642
10418	 sharedreward	 4	 2	 39.443349 	 27.786935 	 13.887183 	 3.838551 	 96.400307
10418	 doors	 1	 1	 40.390340 	 29.912752 	 30.001565 	 21.808164 	 93.715591
10418	 doors	 2	 1	 40.390340 	 29.912752 	 24.195375 	 16.861944 	 86.465263
10418	 doors	 3	 1	 40.390340 	 29.912752 	 18.580923 	 8.392614 	 89.228004
10418	 doors	 4	 1	 40.390340 	 29.912752 	 14.323278 	 4.462129 	 87.593315
10418	 doors	 1	 2	 NA	 NA	 NA	 NA	 NA
10418	 doors	 2	 2	 NA	 NA	 NA	 NA	 NA
10418	 doors	 3	 2	 NA	 NA	 NA	 NA	 NA
10418	 doors	 4	 2	 NA	 NA	 NA	 NA	 NA
10418	 socialdoors	 1	 1	 40.780955 	 29.628154 	 29.794920 	 21.219555 	 94.792290
10418	 socialdoors	 2	 1	 40.780955 	 29.628154 	 24.178691 	 16.040776 	 92.131721
10418	 socialdoors	 3	 1	 40.780955 	 29.628154 	 18.663998 	 8.050151 	 93.318138
10418	 socialdoors	 4	 1	 40.780955 	 29.628154 	 14.445198 	 4.175761 	 94.026596
10418	 socialdoors	 1	 2	 NA	 NA	 NA	 NA	 NA
10418	 socialdoors	 2	 2	 NA	 NA	 NA	 NA	 NA
10418	 socialdoors	 3	 2	 NA	 NA	 NA	 NA	 NA
10418	 socialdoors	 4	 2	 NA	 NA	 NA	 NA	 NA
10462	 trust	 1	 1	 35.632101 	 23.893863 	 27.298319 	 17.295973 	 88.260162
10462	 trust	 2	 1	 35.632101 	 23.893863 	 21.230398 	 9.945767 	 92.309265
10462	 trust	 3	 1	 35.632101 	 23.893863 	 15.842673 	 4.447343 	 91.012550
10462	 trust	 4	 1	 35.632101 	 23.893863 	 11.832952 	 2.752779 	 92.746521
10462	 trust	 1	 2	 NA	 NA	 NA	 NA	 NA
10462	 trust	 2	 2	 NA	 NA	 NA	 NA	 NA
10462	 trust	 3	 2	 NA	 NA	 NA	 NA	 NA
10462	 trust	 4	 2	 NA	 NA	 NA	 NA	 NA
10462	 ugr	 1	 1	 38.038092 	 23.955109 	 28.390604 	 17.262034 	 89.005753
10462	 ugr	 2	 1	 38.038092 	 23.955109 	 22.156191 	 10.162178 	 91.535004
10462	 ugr	 3	 1	 38.038092 	 23.955109 	 16.525338 	 4.841096 	 99.284332
10462	 ugr	 4	 1	 38.038092 	 23.955109 	 12.359311 	 2.931212 	 93.653252
10462	 ugr	 1	 2	 35.791410 	 23.491878 	 27.974594 	 17.774595 	 87.274918
10462	 ugr	 2	 2	 35.791410 	 23.491878 	 21.544943 	 9.852531 	 99.328148
10462	 ugr	 3	 2	 35.791410 	 23.491878 	 15.959312 	 4.548769 	 89.503334
10462	 ugr	 4	 2	 35.791410 	 23.491878 	 11.874090 	 2.866751 	 85.682442
10462	 sharedreward	 1	 1	 37.258289 	 24.327997 	 27.968513 	 17.472739 	 89.353691
10462	 sharedreward	 2	 1	 37.258289 	 24.327997 	 21.774149 	 10.074210 	 103.690758
10462	 sharedreward	 3	 1	 37.258289 	 24.327997 	 16.282962 	 4.761948 	 98.047424
10462	 sharedreward	 4	 1	 37.258289 	 24.327997 	 12.174694 	 2.930908 	 96.594589
10462	 sharedreward	 1	 2	 NA	 NA	 NA	 NA	 NA
10462	 sharedreward	 2	 2	 NA	 NA	 NA	 NA	 NA
10462	 sharedreward	 3	 2	 NA	 NA	 NA	 NA	 NA
10462	 sharedreward	 4	 2	 NA	 NA	 NA	 NA	 NA
10462	 doors	 1	 1	 36.206826 	 25.289542 	 27.743739 	 18.082970 	 93.010345
10462	 doors	 2	 1	 36.206826 	 25.289542 	 21.424830 	 10.285249 	 102.120651
10462	 doors	 3	 1	 36.206826 	 25.289542 	 15.945201 	 4.708247 	 100.854996
10462	 doors	 4	 1	 36.206826 	 25.289542 	 11.874664 	 2.901523 	 97.766777
10462	 doors	 1	 2	 NA	 NA	 NA	 NA	 NA
10462	 doors	 2	 2	 NA	 NA	 NA	 NA	 NA
10462	 doors	 3	 2	 NA	 NA	 NA	 NA	 NA
10462	 doors	 4	 2	 NA	 NA	 NA	 NA	 NA
10462	 socialdoors	 1	 1	 34.502623 	 24.304033 	 27.160994 	 17.270420 	 95.309700
10462	 socialdoors	 2	 1	 34.502623 	 24.304033 	 20.822960 	 9.822065 	 99.805244
10462	 socialdoors	 3	 1	 34.502623 	 24.304033 	 15.439104 	 4.330618 	 101.727661
10462	 socialdoors	 4	 1	 34.502623 	 24.304033 	 11.448212 	 2.838035 	 88.656052
10462	 socialdoors	 1	 2	 NA	 NA	 NA	 NA	 NA
10462	 socialdoors	 2	 2	 NA	 NA	 NA	 NA	 NA
10462	 socialdoors	 3	 2	 NA	 NA	 NA	 NA	 NA
10462	 socialdoors	 4	 2	 NA	 NA	 NA	 NA	 NA
10478	 trust	 1	 1	 40.806081 	 33.213028 	 31.422156 	 21.663048 	 104.799660
10478	 trust	 2	 1	 40.806081 	 33.213028 	 24.040509 	 16.514606 	 103.548180
10478	 trust	 3	 1	 40.806081 	 33.213028 	 17.935530 	 10.670728 	 84.963226
10478	 trust	 4	 1	 40.806081 	 33.213028 	 13.311123 	 5.320706 	 82.460709
10478	 trust	 1	 2	 38.536772 	 32.844940 	 30.688747 	 23.006919 	 92.915672
10478	 trust	 2	 2	 38.536772 	 32.844940 	 23.250592 	 17.191640 	 84.949821
10478	 trust	 3	 2	 38.536772 	 32.844940 	 17.234506 	 10.500080 	 80.139107
10478	 trust	 4	 2	 38.536772 	 32.844940 	 12.709453 	 5.466095 	 78.711823
10478	 ugr	 1	 1	 45.328302 	 38.126483 	 33.146997 	 24.627987 	 92.272835
10478	 ugr	 2	 1	 45.328302 	 38.126483 	 25.752582 	 19.600276 	 94.657097
10478	 ugr	 3	 1	 45.328302 	 38.126483 	 19.244321 	 11.166754 	 88.606842
10478	 ugr	 4	 1	 45.328302 	 38.126483 	 14.287174 	 5.485126 	 91.413895
10478	 ugr	 1	 2	 45.244150 	 38.141449 	 33.204422 	 24.242854 	 96.914185
10478	 ugr	 2	 2	 45.244150 	 38.141449 	 25.577203 	 19.892894 	 101.475815
10478	 ugr	 3	 2	 45.244150 	 38.141449 	 19.080481 	 11.514101 	 98.776741
10478	 ugr	 4	 2	 45.244150 	 38.141449 	 14.107232 	 5.839325 	 94.206085
10478	 sharedreward	 1	 1	 42.558247 	 35.353473 	 32.013103 	 23.430734 	 98.052109
10478	 sharedreward	 2	 1	 42.558247 	 35.353473 	 24.673446 	 17.440550 	 95.672119
10478	 sharedreward	 3	 1	 42.558247 	 35.353473 	 18.461340 	 11.383591 	 94.035759
10478	 sharedreward	 4	 1	 42.558247 	 35.353473 	 13.709925 	 5.811906 	 93.583939
10478	 sharedreward	 1	 2	 37.063668 	 31.754530 	 29.733985 	 21.736793 	 87.709229
10478	 sharedreward	 2	 2	 37.063668 	 31.754530 	 22.626068 	 16.606395 	 77.868355
10478	 sharedreward	 3	 2	 37.063668 	 31.754530 	 16.755521 	 10.564484 	 85.214630
10478	 sharedreward	 4	 2	 37.063668 	 31.754530 	 12.373360 	 5.340390 	 76.114601
10478	 doors	 1	 1	 47.348728 	 39.596814 	 33.824527 	 24.976530 	 94.220345
10478	 doors	 2	 1	 47.348728 	 39.596814 	 26.375013 	 20.264907 	 91.700897
10478	 doors	 3	 1	 47.348728 	 39.596814 	 19.784380 	 11.490401 	 90.506462
10478	 doors	 4	 1	 47.348728 	 39.596814 	 14.704625 	 4.989347 	 89.290558
10478	 doors	 1	 2	 NA	 NA	 NA	 NA	 NA
10478	 doors	 2	 2	 NA	 NA	 NA	 NA	 NA
10478	 doors	 3	 2	 NA	 NA	 NA	 NA	 NA
10478	 doors	 4	 2	 NA	 NA	 NA	 NA	 NA
10478	 socialdoors	 1	 1	 45.406359 	 37.834529 	 33.201250 	 24.413828 	 102.755318
10478	 socialdoors	 2	 1	 45.406359 	 37.834529 	 25.659062 	 19.566272 	 98.402145
10478	 socialdoors	 3	 1	 45.406359 	 37.834529 	 19.221342 	 11.404457 	 90.220566
10478	 socialdoors	 4	 1	 45.406359 	 37.834529 	 14.253565 	 5.280386 	 98.670280
10478	 socialdoors	 1	 2	 NA	 NA	 NA	 NA	 NA
10478	 socialdoors	 2	 2	 NA	 NA	 NA	 NA	 NA
10478	 socialdoors	 3	 2	 NA	 NA	 NA	 NA	 NA
10478	 socialdoors	 4	 2	 NA	 NA	 NA	 NA	 NA
10486	 trust	 1	 1	 34.583365 	 26.755481 	 28.544608 	 20.530884 	 86.562004
10486	 trust	 2	 1	 34.583365 	 26.755481 	 21.223202 	 12.241874 	 78.094223
10486	 trust	 3	 1	 34.583365 	 26.755481 	 15.313693 	 5.181519 	 76.956413
10486	 trust	 4	 1	 34.583365 	 26.755481 	 11.020820 	 3.100771 	 75.660187
10486	 trust	 1	 2	 37.061410 	 25.098122 	 29.443504 	 19.330896 	 83.381821
10486	 trust	 2	 2	 37.061410 	 25.098122 	 22.146479 	 10.365650 	 78.050789
10486	 trust	 3	 2	 37.061410 	 25.098122 	 16.087676 	 4.608049 	 76.621567
10486	 trust	 4	 2	 37.061410 	 25.098122 	 11.557788 	 2.903181 	 75.293266
10486	 ugr	 1	 1	 36.905443 	 26.759504 	 29.128883 	 18.436474 	 97.191032
10486	 ugr	 2	 1	 36.905443 	 26.759504 	 21.799494 	 10.026092 	 74.601578
10486	 ugr	 3	 1	 36.905443 	 26.759504 	 15.846747 	 4.247198 	 81.271072
10486	 ugr	 4	 1	 36.905443 	 26.759504 	 11.452977 	 2.703526 	 80.013313
10486	 ugr	 1	 2	 NA	 NA	 NA	 NA	 NA
10486	 ugr	 2	 2	 NA	 NA	 NA	 NA	 NA
10486	 ugr	 3	 2	 NA	 NA	 NA	 NA	 NA
10486	 ugr	 4	 2	 NA	 NA	 NA	 NA	 NA
10486	 sharedreward	 1	 1	 36.651071 	 26.989132 	 29.101403 	 19.576936 	 87.590462
10486	 sharedreward	 2	 1	 36.651071 	 26.989132 	 21.797422 	 11.363949 	 71.913788
10486	 sharedreward	 3	 1	 36.651071 	 26.989132 	 15.820104 	 4.943297 	 81.826263
10486	 sharedreward	 4	 1	 36.651071 	 26.989132 	 11.420979 	 2.860905 	 77.955864
10486	 sharedreward	 1	 2	 38.690308 	 29.571762 	 30.128201 	 20.037404 	 88.558113
10486	 sharedreward	 2	 2	 38.690308 	 29.571762 	 22.651887 	 11.520137 	 76.699959
10486	 sharedreward	 3	 2	 38.690308 	 29.571762 	 16.497374 	 4.824776 	 77.194946
10486	 sharedreward	 4	 2	 38.690308 	 29.571762 	 11.929386 	 2.996970 	 78.703926
10486	 doors	 1	 1	 39.147813 	 27.682671 	 30.020647 	 18.800029 	 90.425964
10486	 doors	 2	 1	 39.147813 	 27.682671 	 22.652430 	 10.729060 	 86.565468
10486	 doors	 3	 1	 39.147813 	 27.682671 	 16.528816 	 4.617548 	 79.360931
10486	 doors	 4	 1	 39.147813 	 27.682671 	 11.978112 	 2.805434 	 77.485329
10486	 doors	 1	 2	 NA	 NA	 NA	 NA	 NA
10486	 doors	 2	 2	 NA	 NA	 NA	 NA	 NA
10486	 doors	 3	 2	 NA	 NA	 NA	 NA	 NA
10486	 doors	 4	 2	 NA	 NA	 NA	 NA	 NA
10486	 socialdoors	 1	 1	 37.664693 	 28.335139 	 29.679188 	 19.634941 	 88.408569
10486	 socialdoors	 2	 1	 37.664693 	 28.335139 	 22.199152 	 10.681897 	 79.585083
10486	 socialdoors	 3	 1	 37.664693 	 28.335139 	 16.130104 	 4.380836 	 79.454063
10486	 socialdoors	 4	 1	 37.664693 	 28.335139 	 11.625248 	 2.827443 	 78.366287
10486	 socialdoors	 1	 2	 NA	 NA	 NA	 NA	 NA
10486	 socialdoors	 2	 2	 NA	 NA	 NA	 NA	 NA
10486	 socialdoors	 3	 2	 NA	 NA	 NA	 NA	 NA
10486	 socialdoors	 4	 2	 NA	 NA	 NA	 NA	 NA
10529	 trust	 1	 1	 36.897283 	 27.540086 	 27.168190 	 21.530634 	 94.628777
10529	 trust	 2	 1	 36.897283 	 27.540086 	 21.662721 	 12.410927 	 79.331657
10529	 trust	 3	 1	 36.897283 	 27.540086 	 16.087873 	 5.315297 	 81.012085
10529	 trust	 4	 1	 36.897283 	 27.540086 	 11.853312 	 3.179786 	 69.273125
10529	 trust	 1	 2	 36.615788 	 27.308581 	 27.635804 	 22.567104 	 83.059044
10529	 trust	 2	 2	 36.615788 	 27.308581 	 21.889065 	 12.807376 	 78.138359
10529	 trust	 3	 2	 36.615788 	 27.308581 	 16.201432 	 5.746870 	 72.404404
10529	 trust	 4	 2	 36.615788 	 27.308581 	 11.866772 	 3.115050 	 70.249435
10529	 ugr	 1	 1	 36.435060 	 27.594711 	 27.263120 	 22.060207 	 83.100899
10529	 ugr	 2	 1	 36.435060 	 27.594711 	 21.592173 	 12.362936 	 79.640213
10529	 ugr	 3	 1	 36.435060 	 27.594711 	 15.917500 	 5.210433 	 73.006210
10529	 ugr	 4	 1	 36.435060 	 27.594711 	 11.653907 	 2.872594 	 68.138824
10529	 ugr	 1	 2	 40.261855 	 28.280410 	 28.337867 	 21.351853 	 80.300217
10529	 ugr	 2	 2	 40.261855 	 28.280410 	 22.927736 	 12.795169 	 79.836487
10529	 ugr	 3	 2	 40.261855 	 28.280410 	 17.166373 	 5.284037 	 75.983559
10529	 ugr	 4	 2	 40.261855 	 28.280410 	 12.751074 	 2.813000 	 81.749489
10529	 sharedreward	 1	 1	 36.753368 	 27.608315 	 26.904815 	 20.939995 	 85.296165
10529	 sharedreward	 2	 1	 36.753368 	 27.608315 	 21.540207 	 12.452504 	 79.214966
10529	 sharedreward	 3	 1	 36.753368 	 27.608315 	 16.076993 	 5.633515 	 70.742973
10529	 sharedreward	 4	 1	 36.753368 	 27.608315 	 11.910096 	 2.800322 	 73.893944
10529	 sharedreward	 1	 2	 38.774366 	 27.919360 	 27.540656 	 21.361690 	 85.155838
10529	 sharedreward	 2	 2	 38.774366 	 27.919360 	 22.233537 	 12.743595 	 85.827919
10529	 sharedreward	 3	 2	 38.774366 	 27.919360 	 16.702155 	 5.721832 	 80.433334
10529	 sharedreward	 4	 2	 38.774366 	 27.919360 	 12.398840 	 3.170879 	 70.035912
10529	 doors	 1	 1	 36.585448 	 26.268218 	 27.115361 	 20.720533 	 81.520111
10529	 doors	 2	 1	 36.585448 	 26.268218 	 21.582772 	 12.287150 	 77.782455
10529	 doors	 3	 1	 36.585448 	 26.268218 	 15.969384 	 5.064615 	 77.672401
10529	 doors	 4	 1	 36.585448 	 26.268218 	 11.740275 	 2.646581 	 65.905342
10529	 doors	 1	 2	 NA	 NA	 NA	 NA	 NA
10529	 doors	 2	 2	 NA	 NA	 NA	 NA	 NA
10529	 doors	 3	 2	 NA	 NA	 NA	 NA	 NA
10529	 doors	 4	 2	 NA	 NA	 NA	 NA	 NA
10529	 socialdoors	 1	 1	 39.285792 	 27.997854 	 28.024259 	 21.581063 	 87.839241
10529	 socialdoors	 2	 1	 39.285792 	 27.997854 	 22.577568 	 12.850604 	 83.922943
10529	 socialdoors	 3	 1	 39.285792 	 27.997854 	 16.882247 	 5.323604 	 78.696068
10529	 socialdoors	 4	 1	 39.285792 	 27.997854 	 12.524791 	 2.749887 	 78.281113
10529	 socialdoors	 1	 2	 NA	 NA	 NA	 NA	 NA
10529	 socialdoors	 2	 2	 NA	 NA	 NA	 NA	 NA
10529	 socialdoors	 3	 2	 NA	 NA	 NA	 NA	 NA
