sub,computer_defect,computer_recip,stranger_defect,stranger_recip,friend_defect,friend_recip,age,fs
10317,2.8,4,2.8,5.2,6.857143,4.666667,62.96,-0.533333
10369,4.5,4.285714,3,4.8,5.428571,4.666667,31.95,-0.133333
10402,3.714286,3.166667,4.153846,4.857143,4,5.384615,35.94,0.527472
10418,4.666667,3.538462,4.333333,3.384615,5.692308,6.142857,68.64,2.758242
10462,2,3,2.857143,3.5,3.666667,5.2,62.04,1.7
10478,4.4,4.833333,5,4.307692,5.571429,6.307692,27.9,2
10486,5.666667,6,5,6.571429,6.857143,4.666667,41.91,-1.904762
10529,4.142857,4.727273,3.818182,4.857143,5.384615,4.461538,67.8,-0.395605
10541,5.384615,5.142857,3.833333,4.5,6,4.166667,69.16,-0.333333
10572,3,3.090909,3.5,3.454545,4.545455,3.166667,70.46,-0.287878
10581,3.4,2.25,4.545455,3,6.545455,5.571429,48.03,2.571429
10584,3.571429,3.8,2.833333,5.090909,3.090909,2.25,49.64,-2.840909
10585,4.666667,4.363636,4.923077,4.769231,5.714286,5.833333,63.33,1.064102
10589,3.857143,4.461538,3.846154,4.615385,6,5,34.87,0.384615
10590,2.222222,3.5,3.076923,4.333333,5.857143,6.166667,56.4,1.833334
10596,3.272727,5.25,5.076923,6.142857,6.461538,5.142857,27.27,-1
10603,4.5,4.5,3.2,3,5.5,5,69.22,2
10606,5.384615,6.166667,5.230769,6,6.307692,5.571429,22.4,-0.428571
10608,3,2,2.4,2.5,6.857143,4.666667,29.07,2.166667
10617,5.2,3.6,4.666667,4.571429,5.428571,3.666667,73.4,-0.904762
10636,5.692308,5.666667,4.923077,6.5,6.666667,5.846154,26.81,-0.653846
10638,5.714286,6.166667,5.076923,6.428571,6.461538,5.428571,71.83,-1
10640,3,5.5,2.222222,3.555556,5,4.909091,31.73,1.353535
10641,3.6,4.571429,2.5,3.6,6.285714,6.333333,44.68,2.733333
10642,2.285714,2.5,2.666667,2.6,5.857143,6,31.9,3.4
10644,2.857143,4,3.142857,3.777778,5.692308,6.142857,69.41,2.365079
10647,2.25,2.5,2.444444,2.5,3.4,2.8,24.59,0.3
10649,5.571429,5.777778,5.384615,6.428571,6.333333,5.333333,63.8,-1.095238
10652,4,4.714286,4,4.615385,5.142857,5.076923,70.05,0.461538
10656,2.5,2.571429,3.090909,2.909091,3.090909,2.923077,21.43,0.013986
10659,5.857143,5.833333,6.153846,5.538462,5,5.166667,62.39,-0.371795
10663,2.6,3.75,3,3.571429,3.4,4.615385,22.07,1.043956
10668,2.666667,6,4,5.2,5.333333,4.666667,37.37,-0.533333
10673,3.833333,5.4,4.4,3.714286,5.818182,3.538462,48.6,-0.175824
10674,5.285714,6.923077,6.857143,5.384615,5.692308,6.142857,33.2,0.758242
10677,3.636364,4.6,2.833333,4.8,5.090909,4.615385,33.37,-0.184615
10685,2.75,3.428571,3.333333,4.75,6.181818,6.153846,34.43,1.403846
10690,3.2,4,4.8,4.333333,5,5.333333,56.16,1
10691,5.571429,6.5,6.857143,5.333333,5.692308,5.714286,58.27,0.380953
10700,4.222222,2.285714,2.5,4,5.666667,6.5,23.61,2.5
10701,4.5,2.75,3.555556,3.272727,3,4,27.02,0.727273
10713,2.769231,5.090909,2.666667,3.142857,4.666667,4.2,71.53,1.057143
10716,2.857143,5.272727,3.692308,4.428571,4.923077,3.142857,69.13,-1.285714
10718,6.615385,5.714286,5.857143,6.461538,6.285714,5.230769,28.3,-1.230769
10720,3.230769,3.4,4,4.714286,5.076923,4.857143,33.44,0.142857
10723,4.5,3.333333,4,3.454545,4.363636,4.666667,21.7,1.212122
10741,4,3.666667,3.272727,3.272727,6.181818,4.727273,36.93,1.454546
10748,4.307692,6.461538,4.285714,4.307692,5.538462,5.384615,33.3,1.076923
10767,2.25,2.857143,3.538462,3.714286,5.857143,6.307692,25.51,2.593406
10770,6,4.333333,4,4.833333,5.833333,3.692308,64.52,-1.141025
10781,3.428571,3.272727,2.444444,2.5,6.571429,4.833333,37.53,2.333333
10783,2.888889,2,2.75,2.444444,5.076923,3.090909,51.18,0.646465
10785,2.833333,3.090909,2.545455,3.636364,3.666667,2.461538,61.23,-1.174826
10794,3.230769,3.333333,2.769231,3.090909,4.307692,4.153846,39.69,1.062937
10800,5.571429,6,4.6,6.307692,5,5.076923,26.85,-1.230769
10801,5.666667,6,5.833333,5.714286,5.857143,6.153846,34.53,0.43956
10802,3.076923,3.636364,3.428571,3.166667,4.923077,4.428571,42.69,1.261904
10803,3.333333,4.333333,5.6,4.666667,4.666667,2.4,21.66,-2.266667
10804,5.272727,5.166667,6,4.285714,6.615385,4.333333,25.5,0.047619
10806,2.222222,2.857143,4,4.333333,4.5,6.5,26.99,2.166667
10807,5.076923,6.333333,5.666667,5.384615,6.153846,6,58.05,0.615385
10809,2.75,3.2,2.8,3.333333,4,4.285714,68.77,0.952381
10812,3.666667,4.153846,5.230769,4,6.428571,5.076923,62.91,1.076923
