sub_id,tania_subid,fevs_1,fevs_2,fevs_3,fevs_4,fevs_5,fevs_6,fevs_7,fevs_8,fevs_9,fevs_complete,ctrl+f from this to report,vice versa
558,30467,0,0,0,1,1,0,,,,2,fMRI Session Questionnaires,fMRI Session Questionnaires
563,111170,2,2,1,0,0,0,,,,2,x,
591,190388,1,1,1,0,0,0,,,,2,x,
597,180362,1,1,2,0,1,1,,,,2,x,
603,102394,1,2,2,1,1,1,,,,2,x,
626,31353,1,2,1,0,0,0,,,,2,x,
629,122098,0,1,0,1,1,2,,,,2,x,
637,30667,1,2,2,0,2,2,,,,2,x,
645,31686,1,1,1,1,1,1,,,,2,x,
647,111077,2,2,2,2,2,2,,,,2,x,
648,121075,1,2,2,2,2,1,,,,2,x,
676,190349,0,0,0,0,0,0,,,,2,Mock Scan Questionnaires,Mock Scan Questionnaires
688,11368,1,1,1,0,0,1,,,,2,x,
702,130282,1,0,0,1,1,0,,,,2,x,
713,30380,1,2,2,1,1,1,,,,2,x,
719,121386,1,0,0,0,1,0,,,,2,x,
721,181360,2,2,1,0,2,2,,,,2,x,
727,10686,1,2,0,0,1,2,,,,2,x,
729,121062,0,0,0,0,1,1,,,,2,x,
745,191879,1,1,0,0,1,1,,,,2,x,
750,102582,2,2,2,1,2,2,,,,2,x,
755,192367,1,1,2,2,2,1,,,,2,x,
770,101854,1,1,1,0,1,1,,,,2,x,
772,30779,1,2,2,2,1,2,,,,2,x,
773,101870,0,0,1,0,0,0,,,,2,x,
781,131280,1,1,1,1,1,1,,,,2,x,
787,182354,1,2,1,1,1,2,,,,2,x,
795,161990,1,1,2,2,0,0,,,,2,x,
805,20688,1,2,2,1,1,0,,,,2,x,
809,111098,0,0,0,1,1,0,,,,2,x,
817,181385,2,2,2,2,1,1,,,,2,x,
818,132374,1,2,2,1,1,1,,,,2,x,
832,21997,2,2,0,0,0,0,,,,2,x,
843,51974,1,2,1,0,1,1,,,,2,x,
868,111373,1,2,2,1,1,1,,,,2,x,
876,221173,0,0,0,0,1,0,,,,2,Mock Scan Questionnaires,Mock Scan Questionnaires
879,112596,1,0,0,1,1,0,,,,2,x,
883,181391,1,2,1,2,1,1,,,,2,x,
892,101951,0,0,0,0,0,0,,,,2,x,
912,10187,1,1,1,0,1,1,,,,2,x,
914,162298,2,1,1,2,2,1,,,,2,x,
924,30392,0,0,0,0,0,0,,,,2,x,
937,190896,1,1,1,0,1,1,,,,2,x,
938,32278,1,2,0,0,0,0,,,,2,x,
941,31691,2,2,1,1,0,2,,,,2,x,
942,30700,0,0,0,0,0,0,,,,2,x,
946,102054,0,0,0,0,0,0,,,,2,x,
951,101853,0,0,0,0,0,0,,,,2,x,
953,10259,0,0,0,0,0,0,,,,2,x,
962,31351,2,2,1,1,1,2,,,,2,x,
969,30298,0,1,0,0,1,0,,,,2,x,
974,130294,1,0,0,1,1,0,,,,2,x,
982,100774,1,2,1,1,1,1,,,,2,x,
986,130300,,,,,,,,,,0,x,
991,200157,1,2,2,1,2,1,,,,2,x,
