"sub","age","gc","cg","tsnr","fd","input"
10317,20.1829464285714,0,1,-9.80629907848214,0.0249981868035714,"/gpfs/scratch/tug87422/smithlab-shared/rf1-sra-trust/derivatives/fsl/sub-10317/L1_task-trust_model-1_type-REPLACEME_run-1_sm-5.feat/stats/copeCOPENUM.nii.gz"
10402,-6.83705357142857,0,1,-11.0085667184821,0.0299703808035714,"/gpfs/scratch/tug87422/smithlab-shared/rf1-sra-trust/derivatives/fsl/sub-10402/L2_task-trust_model-1_type-REPLACEME_sm-5.gfeat/copeCOPENUM.feat/stats/cope1.nii.gz"
10559,-14.4670535714286,1,0,-15.3917500284821,0.110610757803571,"/gpfs/scratch/tug87422/smithlab-shared/rf1-sra-trust/derivatives/fsl/sub-10559/L2_task-trust_model-1_type-REPLACEME_sm-5.gfeat/copeCOPENUM.feat/stats/cope1.nii.gz"
10572,27.6829464285714,0,1,-12.1855517384821,0.146763537803571,"/gpfs/scratch/tug87422/smithlab-shared/rf1-sra-trust/derivatives/fsl/sub-10572/L2_task-trust_model-1_type-REPLACEME_sm-5.gfeat/copeCOPENUM.feat/stats/cope1.nii.gz"
10603,26.4429464285714,0,1,-11.3607612884821,0.119333668803571,"/gpfs/scratch/tug87422/smithlab-shared/rf1-sra-trust/derivatives/fsl/sub-10603/L2_task-trust_model-1_type-REPLACEME_sm-5.gfeat/copeCOPENUM.feat/stats/cope1.nii.gz"
10608,-13.7070535714286,0,1,-5.76578477848214,-0.0356916911964286,"/gpfs/scratch/tug87422/smithlab-shared/rf1-sra-trust/derivatives/fsl/sub-10608/L1_task-trust_model-1_type-REPLACEME_run-1_sm-5.feat/stats/copeCOPENUM.nii.gz"
10640,-11.0470535714286,1,0,4.36169368151786,-0.0769504641964286,"/gpfs/scratch/tug87422/smithlab-shared/rf1-sra-trust/derivatives/fsl/sub-10640/L2_task-trust_model-1_type-REPLACEME_sm-5.gfeat/copeCOPENUM.feat/stats/cope1.nii.gz"
10642,-10.8770535714286,1,0,2.28809559151786,0.0479392698035714,"/gpfs/scratch/tug87422/smithlab-shared/rf1-sra-trust/derivatives/fsl/sub-10642/L2_task-trust_model-1_type-REPLACEME_sm-5.gfeat/copeCOPENUM.feat/stats/cope1.nii.gz"
10647,-18.1870535714286,0,1,8.13880244151786,-0.0525053021964286,"/gpfs/scratch/tug87422/smithlab-shared/rf1-sra-trust/derivatives/fsl/sub-10647/L2_task-trust_model-1_type-REPLACEME_sm-5.gfeat/copeCOPENUM.feat/stats/cope1.nii.gz"
10649,21.0229464285714,1,0,-9.68223841848214,0.0625259668035714,"/gpfs/scratch/tug87422/smithlab-shared/rf1-sra-trust/derivatives/fsl/sub-10649/L2_task-trust_model-1_type-REPLACEME_sm-5.gfeat/copeCOPENUM.feat/stats/cope1.nii.gz"
10656,-21.3470535714286,0,1,-7.93291825848214,-0.0555141351964286,"/gpfs/scratch/tug87422/smithlab-shared/rf1-sra-trust/derivatives/fsl/sub-10656/L2_task-trust_model-1_type-REPLACEME_sm-5.gfeat/copeCOPENUM.feat/stats/cope1.nii.gz"
10661,7.86294642857143,1,0,-9.82354054848214,-0.0642722421964286,"/gpfs/scratch/tug87422/smithlab-shared/rf1-sra-trust/derivatives/fsl/sub-10661/L2_task-trust_model-1_type-REPLACEME_sm-5.gfeat/copeCOPENUM.feat/stats/cope1.nii.gz"
10663,-20.7070535714286,1,0,-3.82357125848214,-0.0863624071964286,"/gpfs/scratch/tug87422/smithlab-shared/rf1-sra-trust/derivatives/fsl/sub-10663/L2_task-trust_model-1_type-REPLACEME_sm-5.gfeat/copeCOPENUM.feat/stats/cope1.nii.gz"
10673,5.82294642857143,0,1,-8.31013283848214,0.0982465678035714,"/gpfs/scratch/tug87422/smithlab-shared/rf1-sra-trust/derivatives/fsl/sub-10673/L2_task-trust_model-1_type-REPLACEME_sm-5.gfeat/copeCOPENUM.feat/stats/cope1.nii.gz"
10685,-8.34705357142857,1,0,8.34341990151786,-0.120166500196429,"/gpfs/scratch/tug87422/smithlab-shared/rf1-sra-trust/derivatives/fsl/sub-10685/L2_task-trust_model-1_type-REPLACEME_sm-5.gfeat/copeCOPENUM.feat/stats/cope1.nii.gz"
10690,13.3829464285714,1,0,2.38723202151786,0.0662194438035714,"/gpfs/scratch/tug87422/smithlab-shared/rf1-sra-trust/derivatives/fsl/sub-10690/L1_task-trust_model-1_type-REPLACEME_run-1_sm-5.feat/stats/copeCOPENUM.nii.gz"
10701,-15.7570535714286,1,0,-9.74275217848214,-0.0893687711964286,"/gpfs/scratch/tug87422/smithlab-shared/rf1-sra-trust/derivatives/fsl/sub-10701/L2_task-trust_model-1_type-REPLACEME_sm-5.gfeat/copeCOPENUM.feat/stats/cope1.nii.gz"
10716,26.3529464285714,0,1,5.89294724151786,-0.0132800651964286,"/gpfs/scratch/tug87422/smithlab-shared/rf1-sra-trust/derivatives/fsl/sub-10716/L2_task-trust_model-1_type-REPLACEME_sm-5.gfeat/copeCOPENUM.feat/stats/cope1.nii.gz"
10720,-9.33705357142857,1,0,11.3007373415179,-0.0614033291964286,"/gpfs/scratch/tug87422/smithlab-shared/rf1-sra-trust/derivatives/fsl/sub-10720/L2_task-trust_model-1_type-REPLACEME_sm-5.gfeat/copeCOPENUM.feat/stats/cope1.nii.gz"
10723,-21.0770535714286,0,1,-9.84839756848214,-0.0711709621964286,"/gpfs/scratch/tug87422/smithlab-shared/rf1-sra-trust/derivatives/fsl/sub-10723/L2_task-trust_model-1_type-REPLACEME_sm-5.gfeat/copeCOPENUM.feat/stats/cope1.nii.gz"
10770,21.7429464285714,1,0,-6.39326436848214,0.0813047338035714,"/gpfs/scratch/tug87422/smithlab-shared/rf1-sra-trust/derivatives/fsl/sub-10770/L2_task-trust_model-1_type-REPLACEME_sm-5.gfeat/copeCOPENUM.feat/stats/cope1.nii.gz"
10777,-4.41705357142857,1,0,4.79847205151786,-0.0702808181964286,"/gpfs/scratch/tug87422/smithlab-shared/rf1-sra-trust/derivatives/fsl/sub-10777/L1_task-trust_model-1_type-REPLACEME_run-1_sm-5.feat/stats/copeCOPENUM.nii.gz"
10781,-5.24705357142857,1,0,1.32208022151786,-0.0889533301964286,"/gpfs/scratch/tug87422/smithlab-shared/rf1-sra-trust/derivatives/fsl/sub-10781/L2_task-trust_model-1_type-REPLACEME_sm-5.gfeat/copeCOPENUM.feat/stats/cope1.nii.gz"
10783,8.40294642857143,1,0,4.65930576151786,0.0547687918035714,"/gpfs/scratch/tug87422/smithlab-shared/rf1-sra-trust/derivatives/fsl/sub-10783/L2_task-trust_model-1_type-REPLACEME_sm-5.gfeat/copeCOPENUM.feat/stats/cope1.nii.gz"
10794,-3.08705357142857,1,0,3.12826982151786,-0.112888308196429,"/gpfs/scratch/tug87422/smithlab-shared/rf1-sra-trust/derivatives/fsl/sub-10794/L2_task-trust_model-1_type-REPLACEME_sm-5.gfeat/copeCOPENUM.feat/stats/cope1.nii.gz"
10800,-15.9270535714286,0,1,0.242830331517858,0.00309918080357141,"/gpfs/scratch/tug87422/smithlab-shared/rf1-sra-trust/derivatives/fsl/sub-10800/L2_task-trust_model-1_type-REPLACEME_sm-5.gfeat/copeCOPENUM.feat/stats/cope1.nii.gz"
10802,-0.0870535714285694,0,1,-1.96508203848214,-0.0273332871964286,"/gpfs/scratch/tug87422/smithlab-shared/rf1-sra-trust/derivatives/fsl/sub-10802/L2_task-trust_model-1_type-REPLACEME_sm-5.gfeat/copeCOPENUM.feat/stats/cope1.nii.gz"
10804,-17.2770535714286,0,1,9.73239729151786,-0.0670539481964286,"/gpfs/scratch/tug87422/smithlab-shared/rf1-sra-trust/derivatives/fsl/sub-10804/L2_task-trust_model-1_type-REPLACEME_sm-5.gfeat/copeCOPENUM.feat/stats/cope1.nii.gz"
