sub,activation,age
10317,-423.3699093,62.96
10369,-26.19158451,31.95
10402,44.78989435,35.94
10418,-115.2147986,68.64
10462,-142.5285002,62.04
10478,-104.666937,27.9
10486,-105.7954785,41.91
10529,-206.9207268,67.8
10541,-32.89139168,69.16
10559,254.8332015,28.31
10572,11.67756334,70.46
10581,53.06695322,48.03
10584,-20.42496784,49.64
10585,-58.98294248,63.33
10589,66.96653964,34.87
10590,93.91177708,56.4
10596,-178.0003028,27.27
10603,10.71030745,69.22
10606,-140.1965792,22.4
10608,-178.5482553,29.07
10617,-118.3979884,73.4
10636,-57.34216228,26.81
10638,117.6915188,71.83
10640,-133.4422983,31.73
10641,-94.0963275,44.68
10642,-15.79939233,31.9
10644,137.2560622,69.41
10647,-186.8403887,24.59
10649,85.80952022,63.8
10652,-114.4986831,70.05
10656,-181.5083314,21.43
10657,1.493475951,58.98
10661,-44.13600148,50.64
10663,28.11841052,22.07
10668,67.30022628,37.37
10673,48.01736483,48.6
10674,-126.435878,33.2
10677,-96.85853701,33.37
10685,196.2129619,34.43
10690,41.68335894,56.16
10691,-29.32776213,58.27
10700,82.26409212,23.61
10701,115.1984323,27.02
10713,12.32736146,71.53
10716,-107.5735801,69.13
10718,16.92032908,28.3
10720,40.11438373,33.44
10723,-75.24870504,21.7
10741,75.93114149,36.93
10748,24.47187141,33.3
10767,-6.866207966,25.51
10770,-120.0827849,64.52
10777,-35.92299373,38.36
10781,-146.8483673,37.53
10783,-39.920161,51.18
10785,-161.4714692,61.23
10794,-68.93342377,39.69
10800,64.955429,26.85
10801,-35.22631388,34.53
10802,48.12481169,42.69
10803,-90.8897812,21.66
10804,77.73952752,25.5
10806,119.7021656,26.99
10807,-61.47620975,58.05
10809,-155.971155,68.77
10810,-129.5168012,68.42
10812,-39.25864251,62.91
10817,115.0280063,27.59
10827,114.7344036,23.3
10831,-39.09362325,25.38
10834,33.90944987,40.29
10838,-84.0968209,23.87
10843,19.52918944,27.04
10850,-87.44485415,32.67
10854,11.3834033,46.09
10857,-53.28413032,22.29
10858,106.2009115,80.18
10860,-255.0242828,34.36
10862,-27.35010384,60.68
10863,-61.04322298,42.6
10866,-192.3341871,72.24
10875,-38.84423302,32.7
10881,-4.646827601,62.91
10887,85.89164477,35
10896,-3.377015838,28.4
10898,0.474005149,61.88
10908,-72.84366828,42.64
