sub,activation,age
10317,106.8328682,62.96
10369,218.9030127,31.95
10402,119.9226855,35.94
10418,-32.70643621,68.64
10462,96.78774496,62.04
10478,-85.26184803,27.9
10486,18.66213573,41.91
10529,74.15748276,67.8
10541,69.934397,69.16
10559,-6.327597277,28.31
10572,14.76001616,70.46
10581,-26.7197662,48.03
10584,106.3143203,49.64
10585,117.6872464,63.33
10589,102.3708266,34.87
10590,-85.01702157,56.4
10596,131.647475,27.27
10603,85.67318912,69.22
10606,130.617255,22.4
10608,-137.4645653,29.07
10617,107.2768214,73.4
10636,166.8230565,26.81
10638,-1.953225001,71.83
10640,55.13865185,31.73
10641,42.35038819,44.68
10642,-77.73565404,31.9
10644,124.8577436,69.41
10647,16.54021153,24.59
10649,-103.256227,63.8
10652,195.1223317,70.05
10656,-170.5907425,21.43
10657,52.51010748,58.98
10661,54.4800058,50.64
10663,-59.11195974,22.07
10668,148.9115056,37.37
10673,132.6179808,48.6
10674,133.046681,33.2
10677,226.5801193,33.37
10685,-54.07710024,34.43
10690,13.12668578,56.16
10691,13.93639731,58.27
10700,168.8195491,23.61
10701,-47.52258925,27.02
10713,160.3258233,71.53
10716,169.8250836,69.13
10718,38.6469047,28.3
10720,12.69050592,33.44
10723,105.6804303,21.7
10741,176.0257841,36.93
10748,136.0724062,33.3
10767,-23.44556769,25.51
10770,82.87264042,64.52
10777,-121.8801585,38.36
10781,78.07566875,37.53
10783,11.60200856,51.18
10785,171.731085,61.23
10794,-60.64560254,39.69
10800,-6.795284521,26.85
10801,-5.612974925,34.53
10802,-68.32343852,42.69
10803,51.00192345,21.66
10804,-59.55964366,25.5
10806,53.34814886,26.99
10807,-41.50539668,58.05
10809,132.8112951,68.77
10810,137.1482318,68.42
10812,49.99480807,62.91
10817,-98.50393956,27.59
10827,60.8730237,23.3
10831,-8.556150413,25.38
10834,48.77314247,40.29
10838,244.201638,23.87
10843,10.77270614,27.04
10850,31.28368901,32.67
10854,65.14225235,46.09
10857,-95.26915118,22.29
10858,124.1152902,80.18
10860,110.0691719,34.36
10862,73.27025411,60.68
10863,156.080016,42.6
10866,-61.04226638,72.24
10875,50.24191433,32.7
10881,-58.39480293,62.91
10887,-130.2442622,35.58
10896,51.71934387,28.4
10898,-51.18291061,61.88
10908,90.7911986,42.64
